# deck	main attacker	combo (comma = pieces, | = alternatives)	ladder	k3 screen (Lab screen/results.md, 2026-09-24)	role
# Mains and combos from the deck names and decks/brews/BREW_NOTES_2026-09-10.md; ladder records from the Ladder Log.
decks/dustin/07-skarmory-stall.txt	Skarmory ex	Skarmory ex,Metal Core Barrier|Jasmine	3-1	57%	anchor: did well
decks/brews/brew-05b-meowstic-hatterene-comfey.txt	Hatterene	Meowstic,Hatterene	3-3	28%	anchor: middle
decks/brews/brew-01-arceus-crobat-xatu.txt	Arceus ex	Arceus ex,Crobat,Xatu	1-3		anchor: did badly
decks/brews/brew-03a-arceus-nihilego-toxapex.txt	Arceus ex	Toxapex,Nihilego	1-3		anchor: did badly
decks/brews/brew-06-pyukumuku-silvally-payback.txt	Silvally	Pyukumuku,Silvally	0-3	8%	anchor: did badly
decks/brews/brew-06b-pyukumuku-silvally-scyther-grass.txt	Silvally	Pyukumuku,Silvally	0-3	16%	anchor: did badly
decks/brews/brew-07-hoopa-darkrai-sableye.txt	Hoopa ex	Hoopa ex,Darkrai ex	-	62%	new brew (unplayed)
decks/brews/brew-08-entei-rainbow-cave.txt	Entei ex	Entei ex,Rainbow Cave,Flame Patch	-	56%	new brew (unplayed)
decks/brews/brew-09-sableye-obstagoon.txt	Mega Sableye ex	Mega Sableye ex,Galarian Obstagoon	-	47%	new brew (unplayed)
decks/brews/brew-10-diancie-giratina.txt	Mega Diancie ex	Mega Diancie ex,Giratina ex	-	45%	new brew (unplayed)
decks/research/lucario.txt	Mega Lucario ex	Mega Lucario ex,Lucario	Limitless ~50%	52%	meta reference
decks/research/altaria.txt	Mega Altaria ex	Mega Altaria ex,Espeon	Limitless ~53%	46%	meta reference
decks/research/hydreigon.txt	Hydreigon	Hydreigon,Mega Absol ex			meta reference
decks/research/weezing.txt	Hoopa ex	Team Rocket's Weezing ex,Hoopa ex			meta reference (also the goldfish opponent)
decks/research/blaziken.txt	Mega Blaziken ex	Mega Blaziken ex			meta reference
decks/research/sceptile.txt	Mega Sceptile ex	Mega Sceptile ex,Butterfree			meta reference
decks/research/suicune.txt	Suicune ex	Suicune ex,Baxcalibur			meta reference
decks/research/vespiquen.txt	Vespiquen ex	Vespiquen ex,Shuckle ex			meta reference
