game_id,date,ts,deck_id,deck_played,deck_file,deck_file_status,deck_file_note,opponent_text,mapped_archetype,class,opponent_key,opponent_file,list_match,confidence,went_first,result,win,usable,note
ks7cq6me,2026-09-15,1789489472297,d02,Deck 02 — Arceus / Crobat,decks/dustin/02-arceus-crobat.txt,file,,Mega Charizard Y ex / Entei ex,Mega Charizard Y ex Entei ex,top-30 off-panel,charizardy,decks/screen/panel_ladder_2026-09-26/l-charizardy.txt,exact,exact,,L,0,1,
dryde5b2,2026-09-15,1789490095447,brew-01,Brew 01 — Arceus / Crobat / Xatu,decks/brews/brew-01-arceus-crobat-xatu.txt,file,,Vespiquen ex / Shuckle ex,Vespiquen ex Shuckle ex,panel,vespiquen,decks/screen/opponents/t-vespiquen.txt,exact,exact,,L,0,1,"shuckle got 3 heads and knocked out Natu. Never drew crobat, or xatu... Probably need more draw cards or copycat"
puegkh26,2026-09-15,1789490474691,brew-01,Brew 01 — Arceus / Crobat / Xatu,decks/brews/brew-01-arceus-crobat-xatu.txt,file,,"team rocket: magmar, weezing ex,",Team Rocket's Weezing ex Team Rocket's Magmar,panel variant,weezing,decks/screen/opponents/t-weezing.txt,variant,exact,,W,1,1,Arceus versus deck that damages from effects = wins
g4plkw2m,2026-09-15,1789495752014,brew-05,Brew 05 — Meowstic / Hatterene / Comfey (2026-09-15 list),decks/brews/brew-05b-meowstic-hatterene-comfey.txt,file,"log id brew-05 = the Comfey list = brew-05b file (not brew-05-...-confusion.txt, which has no Comfey or Peculiar Plaza)",magikarp/carvanha,Mega Sharpedo ex Gyarados,top-30 off-panel,sharpedo,decks/screen/panel_ladder_2026-09-26/l-sharpedo.txt,inferred,likely,,W,1,1,"evolved to hatterene turn 2, meowstic drawn on turn 3, confused and retreated using peculiar plaza, ko'ed carvanha, opponent surrendered"
c3eehz66,2026-09-15,1789512629818,brew-05,Brew 05 — Meowstic / Hatterene / Comfey (2026-09-15 list),decks/brews/brew-05b-meowstic-hatterene-comfey.txt,file,"log id brew-05 = the Comfey list = brew-05b file (not brew-05-...-confusion.txt, which has no Comfey or Peculiar Plaza)",Mega Lucario ex hitmontop,Mega Lucario ex Hitmontop,panel variant,lucario,decks/screen/opponents/t-lucario.txt,variant,exact,,L,0,1,"No way to change cards hitmontop can hit me while mega lucario sets up, rocky helmet on lucario hit 150 down to 130 no way to remove helmet or heal, dead"
q29m429j,2026-09-15,1789513633230,brew-05,Brew 05 — Meowstic / Hatterene / Comfey (2026-09-15 list),decks/brews/brew-05b-meowstic-hatterene-comfey.txt,file,"log id brew-05 = the Comfey list = brew-05b file (not brew-05-...-confusion.txt, which has no Comfey or Peculiar Plaza)",Darkrai espeon sleep,Mega Altaria ex Espeon,panel,altaria,decks/screen/opponents/t-altaria.txt,inferred,likely,,L,0,1,"Comfey first, died and couldnt protect the rest of the pokemon from sleep. Flipped tails on the deciding coin flip"
5j3gatiy,2026-09-15,1789516135251,brew-03a,Brew 03a — Arceus / Nihilego / Toxapex,decks/brews/brew-03a-arceus-nihilego-toxapex.txt,file-deviates,log note for the Dustox game says a second Poison tool replaced the Cape; the file still has Giant Cape,Vespiquen ex / Shuckle ex,Vespiquen ex Shuckle ex,panel,vespiquen,decks/screen/opponents/t-vespiquen.txt,exact,exact,,L,0,1,Teal mask ogerpon prevented poison
i0b7q0aw,2026-09-15,1789527928989,brew-03a,Brew 03a — Arceus / Nihilego / Toxapex,decks/brews/brew-03a-arceus-nihilego-toxapex.txt,file-deviates,log note for the Dustox game says a second Poison tool replaced the Cape; the file still has Giant Cape,Suicune ex / Baxcalibur,Suicune ex Baxcalibur,panel,suicune,decks/screen/opponents/t-suicune.txt,exact,exact,,L,0,1,
dt62hbj1,2026-09-15,1789530226980,brew-04,Brew 04 — Xatu / Team Rocket's Slowking ex,decks/brews/brew-04-xatu-slowking.txt,file-deviates,log note says Giant Cape -> Elegant Cape (B3b 065) and X Speed -> Peculiar Plaza for this game; the file has Giant Cape and X Speed,Mega Sharpedo ex / Gyarados,Mega Sharpedo ex Gyarados,top-30 off-panel,sharpedo,decks/screen/panel_ladder_2026-09-26/l-sharpedo.txt,exact,exact,,W,1,1,"Switched Cape for elegant, x speed for peculiar plaza"
zsy3l5cr,2026-09-15,1789533465560,d07,Deck 07 — Skarmory stall,decks/dustin/07-skarmory-stall.txt,file,,Hydreigon / Mega Absol ex hoopa ex,Hydreigon Mega Absol ex,panel,hydreigon,decks/screen/opponents/t-hydreigon.txt,exact,exact,,W,1,1,
