deck_played,date,opponent_text,mapped_archetype,class,result,reason,deck_id,ts,panel_key,confidence
"Deck 02 — Arceus / Crobat",2026-09-15,"Mega Charizard Y ex / Entei ex","Mega Charizard Y ex Entei ex",top-30 off-panel,L,"exact top-30 name (#12, 1.77%)",d02,1789489472297,,exact
"Deck 02 — Arceus / Crobat",2026-09-15,"Mega Manectric ex / Heliolisk","Mega Manectric ex Heliolisk",top-30 off-panel,L,"exact top-30 name (#11, 1.84%)",d02,1789489479850,,exact
"Deck 02 — Arceus / Crobat",2026-09-15,igglybuff/darkrai/milotic,Milotic ex Igglybuff,established off-list,W,"sleep deck: Milotic ex Water Pulse + Igglybuff Sleepy Lullaby + Darkrai Bad Dreams; listed on Limitless (43 match rows), outside top 30",d02,1789489499462,,likely
"Deck 02 — Arceus / Crobat",2026-09-15,rotom ex,Rotom ex,established off-list,L,"Rotom ex Junk Spark deck; listed as Rotom ex / Rotom ex Oricorio / Rotom ex Zeraora (about 170 rows), outside top 30",d02,1789489627921,,exact
"Brew 01 — Arceus / Crobat / Xatu",2026-09-15,"Vespiquen ex / Shuckle ex","Vespiquen ex Shuckle ex",panel,L,"exact panel deck (#4, 4.85%)",brew-01,1789490095447,vespiquen,exact
"Brew 01 — Arceus / Crobat / Xatu",2026-09-15,"team rocket: magmar, weezing ex,","Team Rocket's Weezing ex Team Rocket's Magmar",panel variant,W,"TR Weezing ex core with TR Magmar instead of Hoopa ex; listed (189 rows), outside top 30",brew-01,1789490474691,weezing,exact
"Brew 01 — Arceus / Crobat / Xatu",2026-09-15,lucario ex and team rocket raticate ex,"Team Rocket's Raticate ex Mega Lucario ex",established off-list,L,"Raticate ex energy steal plus a Lucario finisher; listed in both orderings (156 rows), outside top 30; the Raticate plan makes it a different deck from panel Lucario",brew-01,1789490971979,,likely
"Brew 01 — Arceus / Crobat / Xatu",2026-09-15,psychic oricorio/psychic chandelure,Chandelure Oricorio,established off-list,L,"listed name (229 rows), outside top 30",brew-01,1789491406491,,exact
"Brew 05 — Meowstic / Hatterene / Comfey (2026-09-15 list)",2026-09-15,"weezing (gas leak not team rocket), nihilego, darkrai ex","Weezing / Nihilego / Darkrai ex poison pile",homebrew,L,"non-TR Weezing (Gas Leak) + Nihilego + Darkrai ex; no listed Limitless pairing (nearest: Crobat ex Weezing 8 rows, TR Weezing ex Nihilego 11 rows, neither is this)",brew-05,1789494241257,,exact
"Brew 05 — Meowstic / Hatterene / Comfey (2026-09-15 list)",2026-09-15,eevee/froakie-greninja ex(shifting stream),"Vaporeon ex Greninja ex",established off-list,W,"Eevee line + Greninja ex is the listed Vaporeon ex / Greninja ex deck (52 rows), outside top 30; Eevee never evolved (opponent quit)",brew-05,1789494818748,,likely
"Brew 05 — Meowstic / Hatterene / Comfey (2026-09-15 list)",2026-09-15,mega rayquaza ex/spritomb/pichu/dratini,"Dragonair Mega Rayquaza ex",top-30 off-panel,W,"Dratini line + Mega Rayquaza ex = top-30 #22 (0.99%); Spiritomb and Pichu are techs",brew-05,1789495500823,,exact
"Brew 05 — Meowstic / Hatterene / Comfey (2026-09-15 list)",2026-09-15,magikarp/carvanha,"Mega Sharpedo ex Gyarados",top-30 off-panel,W,"Magikarp and Carvanha are the two basics of top-30 #24 Mega Sharpedo ex / Gyarados (0.74%); opponent conceded before evolving",brew-05,1789495752014,,likely
"Brew 05c — Meowstic / Hatterene / Comfey (Cape variant)",2026-09-15,"Whimsicott ex / Ariados","Whimsicott ex Ariados",top-30 off-panel,L,"exact top-30 name (#26, 0.73%)",brew-05c,1789505112796,,exact
"Brew 05c — Meowstic / Hatterene / Comfey (Cape variant)",2026-09-15,puppy pile...,Growlithe Lillipup,established off-list,W,"Puppy Pile attackers (Growlithe B3b, Lillipup B3); listed as Growlithe Lillipup / Growlithe Rockruff (47 rows), outside top 30",brew-05c,1789505360509,,exact
"Brew 05c — Meowstic / Hatterene / Comfey (Cape variant)",2026-09-15,"garchomp (mach-stealth ability), chingling",Garchomp,top-30 off-panel,L,"Garchomp with Cynthia = top-30 #21 (1.06%); Chingling is a tech",brew-05c,1789506086160,,exact
"Brew 05 — Meowstic / Hatterene / Comfey (2026-09-15 list)",2026-09-15,Mega Lucario ex hitmontop,"Mega Lucario ex Hitmontop",panel variant,L,"Mega Lucario ex core with Hitmontop in the Lucario/Hitmonlee slot; pairing not listed (Mega Lucario ex alone 130 rows); plays as panel Lucario",brew-05,1789512629818,lucario,exact
"Brew 05 — Meowstic / Hatterene / Comfey (2026-09-15 list)",2026-09-15,Darkrai espeon sleep,"Mega Altaria ex Espeon",panel,L,"Espeon Hypnoblast + Darkrai Bad Dreams is the sleep engine of top-30 #2 Mega Altaria ex / Espeon (both cards are in the panel list); Altaria itself not seen",brew-05,1789513633230,altaria,likely
"Brew 03a — Arceus / Nihilego / Toxapex",2026-09-15,"Vespiquen ex / Shuckle ex","Vespiquen ex Shuckle ex",panel,L,"exact panel deck; the Teal Mask Ogerpon ex seen is in the panel list",brew-03a,1789516135251,vespiquen,exact
"Brew 03a — Arceus / Nihilego / Toxapex",2026-09-15,"Suicune ex / Baxcalibur","Suicune ex Baxcalibur",panel,L,"exact panel deck (#5, 4.76%)",brew-03a,1789527928989,suicune,exact
"Brew 03a — Arceus / Nihilego / Toxapex",2026-09-15,Dustox team rocket magmar,"Dustox Team Rocket's Magmar",established off-list,W,"Dustox poison deck; listed as Dustox TR Magmar (5 rows) and the larger Beautifly Dustox (553 rows), outside top 30",brew-03a,1789528431770,,exact
