# CANON_MAP.tsv — functional card-identity map. GENERATED by lib/card_canon.py; never hand-edit.
# source_sha256=2f48cb72966c23ba3794f437aa94312e4eadcb2703c32893411ee27fc63b11d9
# ids=3879 classes=2318 multi_print_classes=884
# newer_than_ALL_IDS_v2=B3 234,P-B 086,B4a 001,B4a 002,B4a 003,B4a 004,B4a 005,B4a 006,B4a 007,B4a 008,B4a 009,B4a 010,B4a 011,B4a 012,B4a 013,B4a 014,B4a 015,B4a 016,B4a 017,B4a 018,B4a 019,B4a 020,B4a 021,B4a 022,B4a 023,B4a 024,B4a 025,B4a 026,B4a 027,B4a 028,B4a 029,B4a 030,B4a 031,B4a 032,B4a 033,B4a 034,B4a 035,B4a 036,B4a 037,B4a 038,B4a 039,B4a 040,B4a 041,B4a 042,B4a 043,B4a 044,B4a 045,B4a 046,B4a 047,B4a 048,B4a 049,B4a 050,B4a 051,B4a 052,B4a 053,B4a 054,B4a 055,B4a 056,B4a 057,B4a 058,B4a 059,B4a 060,B4a 061,B4a 062,B4a 063,B4a 064,B4a 065,B4a 066,B4a 067,B4a 068,B4a 069,B4a 070,B4a 071,B4a 072,B4a 073,B4a 074,B4a 075,B4a 076,B4a 077,B4a 078,B4a 079,B4a 080,B4a 081,B4a 082,B4a 083,B4a 084,B4a 085,B4a 086,B4a 087,B4a 088,B4a 089,B4a 090,B4a 091,B4a 092,B4a 093,B4a 094,B4a 095,B4a 096,B4a 097,B4a 098,B4a 099,B4a 100,B4a 101,B4a 102,B4a 103,B4a 104,B4a 105,B4a 106,B4a 107,B4a 108,B4a 109,B4a 110,P-B 087,P-B 088,P-B 089,P-B 090,P-B 091,P-B 092,P-B 093,P-B 094
# id	base_id	fingerprint	kind	name
A1 001	A1 001	1594dfb55509	Pokemon	Bulbasaur
A1 002	A1 002	c53baaef6de3	Pokemon	Ivysaur
A1 003	A1 003	a87b80d7b5f4	Pokemon	Venusaur
A1 004	A1 004	a1b6648fe1ba	Pokemon	Venusaur ex
A1 005	A1 005	6b21f305c99b	Pokemon	Caterpie
A1 006	A1 006	13c0c77ee1d9	Pokemon	Metapod
A1 007	A1 007	14565e4219bd	Pokemon	Butterfree
A1 008	A1 008	f8466b105b10	Pokemon	Weedle
A1 009	A1 009	63efbf81b8f9	Pokemon	Kakuna
A1 010	A1 010	28b3d659151d	Pokemon	Beedrill
A1 011	A1 011	1d8b85c938cf	Pokemon	Oddish
A1 012	A1 012	2a6cb96ccebf	Pokemon	Gloom
A1 013	A1 013	6bcd414cf078	Pokemon	Vileplume
A1 014	A1 014	2fe4464f6829	Pokemon	Paras
A1 015	A1 015	794d6cb276a5	Pokemon	Parasect
A1 016	A1 016	75afb54d0173	Pokemon	Venonat
A1 017	A1 017	6b7109682fe3	Pokemon	Venomoth
A1 018	A1 018	387b3728a304	Pokemon	Bellsprout
A1 019	A1 019	0ff7adc936a7	Pokemon	Weepinbell
A1 020	A1 020	2f8ffee28af6	Pokemon	Victreebel
A1 021	A1 021	22e669d53b8f	Pokemon	Exeggcute
A1 022	A1 022	5839e3a5dcc6	Pokemon	Exeggutor
A1 023	A1 023	1a07949625f1	Pokemon	Exeggutor ex
A1 024	A1 024	771b7e637524	Pokemon	Tangela
A1 025	A1 025	d7798ef1e586	Pokemon	Scyther
A1 026	A1 026	c5dc5a361a87	Pokemon	Pinsir
A1 027	A1 027	f83c140a33c4	Pokemon	Cottonee
A1 028	A1 028	4a8083755bc2	Pokemon	Whimsicott
A1 029	A1 029	462b28ee00c8	Pokemon	Petilil
A1 030	A1 030	1940cfaf7e57	Pokemon	Lilligant
A1 031	A1 031	0deecc9f6100	Pokemon	Skiddo
A1 032	A1 032	82373feb51f8	Pokemon	Gogoat
A1 033	A1 033	a85658726ac6	Pokemon	Charmander
A1 034	A1 034	6dafd8c1f2f3	Pokemon	Charmeleon
A1 035	A1 035	b5801fe7ff47	Pokemon	Charizard
A1 036	A1 036	a3d83b9c744d	Pokemon	Charizard ex
A1 037	A1 037	2b709688648f	Pokemon	Vulpix
A1 038	A1 038	80871ed639e7	Pokemon	Ninetales
A1 039	A1 039	1bd96a2307a1	Pokemon	Growlithe
