pairing	block	held_key	held_file	opponent	panel_file	seed_first	seed_last	sub_block_end
0	A_archetype	manectric	rl/results/b2e_card_check_2026-09-26/decks/h-manectric.txt	lucario	decks/screen/opponents/t-lucario.txt	21106000000	21106000499	21106009999
1	A_archetype	manectric	rl/results/b2e_card_check_2026-09-26/decks/h-manectric.txt	altaria	decks/screen/opponents/t-altaria.txt	21106010000	21106010499	21106019999
2	A_archetype	manectric	rl/results/b2e_card_check_2026-09-26/decks/h-manectric.txt	sceptile	decks/screen/opponents/t-sceptile.txt	21106020000	21106020499	21106029999
3	A_archetype	manectric	rl/results/b2e_card_check_2026-09-26/decks/h-manectric.txt	vespiquen	decks/screen/opponents/t-vespiquen.txt	21106030000	21106030499	21106039999
4	A_archetype	manectric	rl/results/b2e_card_check_2026-09-26/decks/h-manectric.txt	suicune	decks/screen/opponents/t-suicune.txt	21106040000	21106040499	21106049999
5	A_archetype	manectric	rl/results/b2e_card_check_2026-09-26/decks/h-manectric.txt	hydreigon	decks/screen/opponents/t-hydreigon.txt	21106050000	21106050499	21106059999
6	A_archetype	manectric	rl/results/b2e_card_check_2026-09-26/decks/h-manectric.txt	weezing	decks/screen/opponents/t-weezing.txt	21106060000	21106060499	21106069999
7	A_archetype	manectric	rl/results/b2e_card_check_2026-09-26/decks/h-manectric.txt	blaziken	decks/screen/opponents/t-blaziken.txt	21106070000	21106070499	21106079999
8	A_archetype	raticate	rl/results/b2e_card_check_2026-09-26/decks/h-raticate.txt	lucario	decks/screen/opponents/t-lucario.txt	21106080000	21106080499	21106089999
9	A_archetype	raticate	rl/results/b2e_card_check_2026-09-26/decks/h-raticate.txt	altaria	decks/screen/opponents/t-altaria.txt	21106090000	21106090499	21106099999
10	A_archetype	raticate	rl/results/b2e_card_check_2026-09-26/decks/h-raticate.txt	sceptile	decks/screen/opponents/t-sceptile.txt	21106100000	21106100499	21106109999
11	A_archetype	raticate	rl/results/b2e_card_check_2026-09-26/decks/h-raticate.txt	vespiquen	decks/screen/opponents/t-vespiquen.txt	21106110000	21106110499	21106119999
12	A_archetype	raticate	rl/results/b2e_card_check_2026-09-26/decks/h-raticate.txt	suicune	decks/screen/opponents/t-suicune.txt	21106120000	21106120499	21106129999
13	A_archetype	raticate	rl/results/b2e_card_check_2026-09-26/decks/h-raticate.txt	hydreigon	decks/screen/opponents/t-hydreigon.txt	21106130000	21106130499	21106139999
14	A_archetype	raticate	rl/results/b2e_card_check_2026-09-26/decks/h-raticate.txt	weezing	decks/screen/opponents/t-weezing.txt	21106140000	21106140499	21106149999
15	A_archetype	raticate	rl/results/b2e_card_check_2026-09-26/decks/h-raticate.txt	blaziken	decks/screen/opponents/t-blaziken.txt	21106150000	21106150499	21106159999
16	A_archetype	hoopa_absol	rl/results/b2e_card_check_2026-09-26/decks/h-hoopa_absol.txt	lucario	decks/screen/opponents/t-lucario.txt	21106160000	21106160499	21106169999
17	A_archetype	hoopa_absol	rl/results/b2e_card_check_2026-09-26/decks/h-hoopa_absol.txt	altaria	decks/screen/opponents/t-altaria.txt	21106170000	21106170499	21106179999
18	A_archetype	hoopa_absol	rl/results/b2e_card_check_2026-09-26/decks/h-hoopa_absol.txt	sceptile	decks/screen/opponents/t-sceptile.txt	21106180000	21106180499	21106189999
19	A_archetype	hoopa_absol	rl/results/b2e_card_check_2026-09-26/decks/h-hoopa_absol.txt	vespiquen	decks/screen/opponents/t-vespiquen.txt	21106190000	21106190499	21106199999
20	A_archetype	hoopa_absol	rl/results/b2e_card_check_2026-09-26/decks/h-hoopa_absol.txt	suicune	decks/screen/opponents/t-suicune.txt	21106200000	21106200499	21106209999
21	A_archetype	hoopa_absol	rl/results/b2e_card_check_2026-09-26/decks/h-hoopa_absol.txt	hydreigon	decks/screen/opponents/t-hydreigon.txt	21106210000	21106210499	21106219999
22	A_archetype	hoopa_absol	rl/results/b2e_card_check_2026-09-26/decks/h-hoopa_absol.txt	weezing	decks/screen/opponents/t-weezing.txt	21106220000	21106220499	21106229999
23	A_archetype	hoopa_absol	rl/results/b2e_card_check_2026-09-26/decks/h-hoopa_absol.txt	blaziken	decks/screen/opponents/t-blaziken.txt	21106230000	21106230499	21106239999
24	A_archetype	garchomp	rl/results/b2e_card_check_2026-09-26/decks/h-garchomp.txt	lucario	decks/screen/opponents/t-lucario.txt	21106240000	21106240499	21106249999
25	A_archetype	garchomp	rl/results/b2e_card_check_2026-09-26/decks/h-garchomp.txt	altaria	decks/screen/opponents/t-altaria.txt	21106250000	21106250499	21106259999
26	A_archetype	garchomp	rl/results/b2e_card_check_2026-09-26/decks/h-garchomp.txt	sceptile	decks/screen/opponents/t-sceptile.txt	21106260000	21106260499	21106269999
27	A_archetype	garchomp	rl/results/b2e_card_check_2026-09-26/decks/h-garchomp.txt	vespiquen	decks/screen/opponents/t-vespiquen.txt	21106270000	21106270499	21106279999
28	A_archetype	garchomp	rl/results/b2e_card_check_2026-09-26/decks/h-garchomp.txt	suicune	decks/screen/opponents/t-suicune.txt	21106280000	21106280499	21106289999
29	A_archetype	garchomp	rl/results/b2e_card_check_2026-09-26/decks/h-garchomp.txt	hydreigon	decks/screen/opponents/t-hydreigon.txt	21106290000	21106290499	21106299999
30	A_archetype	garchomp	rl/results/b2e_card_check_2026-09-26/decks/h-garchomp.txt	weezing	decks/screen/opponents/t-weezing.txt	21106300000	21106300499	21106309999
31	A_archetype	garchomp	rl/results/b2e_card_check_2026-09-26/decks/h-garchomp.txt	blaziken	decks/screen/opponents/t-blaziken.txt	21106310000	21106310499	21106319999
32	A_archetype	whimsicott	rl/results/b2e_card_check_2026-09-26/decks/h-whimsicott.txt	lucario	decks/screen/opponents/t-lucario.txt	21106320000	21106320499	21106329999
33	A_archetype	whimsicott	rl/results/b2e_card_check_2026-09-26/decks/h-whimsicott.txt	altaria	decks/screen/opponents/t-altaria.txt	21106330000	21106330499	21106339999
34	A_archetype	whimsicott	rl/results/b2e_card_check_2026-09-26/decks/h-whimsicott.txt	sceptile	decks/screen/opponents/t-sceptile.txt	21106340000	21106340499	21106349999
35	A_archetype	whimsicott	rl/results/b2e_card_check_2026-09-26/decks/h-whimsicott.txt	vespiquen	decks/screen/opponents/t-vespiquen.txt	21106350000	21106350499	21106359999
36	A_archetype	whimsicott	rl/results/b2e_card_check_2026-09-26/decks/h-whimsicott.txt	suicune	decks/screen/opponents/t-suicune.txt	21106360000	21106360499	21106369999
37	A_archetype	whimsicott	rl/results/b2e_card_check_2026-09-26/decks/h-whimsicott.txt	hydreigon	decks/screen/opponents/t-hydreigon.txt	21106370000	21106370499	21106379999
38	A_archetype	whimsicott	rl/results/b2e_card_check_2026-09-26/decks/h-whimsicott.txt	weezing	decks/screen/opponents/t-weezing.txt	21106380000	21106380499	21106389999
39	A_archetype	whimsicott	rl/results/b2e_card_check_2026-09-26/decks/h-whimsicott.txt	blaziken	decks/screen/opponents/t-blaziken.txt	21106390000	21106390499	21106399999
40	A_archetype	charizardy_entei	rl/results/b2e_card_check_2026-09-26/decks/h-charizardy_entei.txt	lucario	decks/screen/opponents/t-lucario.txt	21106400000	21106400499	21106409999
41	A_archetype	charizardy_entei	rl/results/b2e_card_check_2026-09-26/decks/h-charizardy_entei.txt	altaria	decks/screen/opponents/t-altaria.txt	21106410000	21106410499	21106419999
42	A_archetype	charizardy_entei	rl/results/b2e_card_check_2026-09-26/decks/h-charizardy_entei.txt	sceptile	decks/screen/opponents/t-sceptile.txt	21106420000	21106420499	21106429999
43	A_archetype	charizardy_entei	rl/results/b2e_card_check_2026-09-26/decks/h-charizardy_entei.txt	vespiquen	decks/screen/opponents/t-vespiquen.txt	21106430000	21106430499	21106439999
44	A_archetype	charizardy_entei	rl/results/b2e_card_check_2026-09-26/decks/h-charizardy_entei.txt	suicune	decks/screen/opponents/t-suicune.txt	21106440000	21106440499	21106449999
45	A_archetype	charizardy_entei	rl/results/b2e_card_check_2026-09-26/decks/h-charizardy_entei.txt	hydreigon	decks/screen/opponents/t-hydreigon.txt	21106450000	21106450499	21106459999
46	A_archetype	charizardy_entei	rl/results/b2e_card_check_2026-09-26/decks/h-charizardy_entei.txt	weezing	decks/screen/opponents/t-weezing.txt	21106460000	21106460499	21106469999
47	A_archetype	charizardy_entei	rl/results/b2e_card_check_2026-09-26/decks/h-charizardy_entei.txt	blaziken	decks/screen/opponents/t-blaziken.txt	21106470000	21106470499	21106479999
48	B_dustin	dustin_manectric	decks/dustin/09-mega-manectric-heliolisk.txt	lucario	decks/screen/opponents/t-lucario.txt	21106480000	21106480499	21106489999
49	B_dustin	dustin_manectric	decks/dustin/09-mega-manectric-heliolisk.txt	altaria	decks/screen/opponents/t-altaria.txt	21106490000	21106490499	21106499999
50	B_dustin	dustin_manectric	decks/dustin/09-mega-manectric-heliolisk.txt	sceptile	decks/screen/opponents/t-sceptile.txt	21106500000	21106500499	21106509999
51	B_dustin	dustin_manectric	decks/dustin/09-mega-manectric-heliolisk.txt	vespiquen	decks/screen/opponents/t-vespiquen.txt	21106510000	21106510499	21106519999
52	B_dustin	dustin_manectric	decks/dustin/09-mega-manectric-heliolisk.txt	suicune	decks/screen/opponents/t-suicune.txt	21106520000	21106520499	21106529999
53	B_dustin	dustin_manectric	decks/dustin/09-mega-manectric-heliolisk.txt	hydreigon	decks/screen/opponents/t-hydreigon.txt	21106530000	21106530499	21106539999
54	B_dustin	dustin_manectric	decks/dustin/09-mega-manectric-heliolisk.txt	weezing	decks/screen/opponents/t-weezing.txt	21106540000	21106540499	21106549999
