dataset,archetype,opponents,equal_weight_avg_pct,equal_weight_band95_pts,equal_weight_lo_pct,equal_weight_hi_pct,match_weighted_pct,match_weighted_band95_pts,n
development,manectric_heliolisk,8,48.0,6.8,41.1,54.8,47.6,6.5,230
development,raticate_ninetales,8,44.8,8.8,36.0,53.6,44.2,9.2,113
development,hoopa_absol,8,51.6,6.1,45.5,57.7,52.8,5.6,303
development,garchomp,8,36.9,13.8,23.2,50.7,36.4,11.3,70
development,whimsicott_ariados,7,45.1,12.1,33.0,57.1,44.1,16.7,34
development,charizardy_entei,8,48.4,7.2,41.2,55.6,52.5,6.6,219
pooled,manectric_heliolisk,8,49.2,4.8,44.4,54.0,48.8,4.4,504
pooled,raticate_ninetales,8,41.2,6.1,35.1,47.3,39.7,6.0,257
pooled,hoopa_absol,8,49.9,4.7,45.3,54.6,51.4,4.3,521
pooled,garchomp,8,32.5,7.5,25.0,40.0,35.3,7.8,146
pooled,whimsicott_ariados,8,32.3,11.2,21.1,43.5,38.3,12.3,60
pooled,charizardy_entei,8,49.2,4.8,44.3,54.0,52.6,4.6,445
