Brew pilot check: Dustin's 15 brews under k3 and kp3   (2026-09-25 07:16)

Diagnostic add-on /home/dacz8976/diag-kp-addon/module/pdl_rl_env.abi3.so sha256 c048388b4bcf7103375ea0a1e7c9e965be8e350000c3ac873bd111b69e1eae19 (engine at c7cb688; not the verified 0.7.2 wheel).
100 paired deals per matchup, seeds 21,050,000,000 + brew x 1,000,000 + opponent x 10,000 + i. Games that did not replay exactly or raised an error: 0 of 24,000; a deal counts only when all three rows' games are clean.

Rows are brew pilot | opponent pilot. The brew's win % in each row; two paired differences (95% interval):
  'pilot' = kp3|k3 - k3|k3 (what k3 understates, against k3 opponents);
  'meta'  = kp3|kp3 - kp3|k3 (does it move again when the meta side prices too).
Per brew turn where Thieving Incisors (TI) / Copycat was on offer: turns the brew used it / turns on offer.

  brew v opponent                     n  k3|k3  kp3|k3  kp3|kp3         pilot          meta        TI k3|k3    TI kp3|k3   TI kp3|kp3    Copycat k3|k3 Copycat kp3|k3
  01-muk-glimmora-k v altaria       100   37.0    37.0      nan    +0.0 ±8.4     +nan ±nan              0/0          0/0            —       97/298 33%    132/224 59%
  01-muk-glimmora-k v blaziken      100   13.0    16.0      nan    +3.0 ±7.6     +nan ±nan              0/0          0/0            —       98/352 28%    147/238 62%
  01-muk-glimmora-k v hydreigon     100   31.0    35.0      nan    +4.0 ±10.4    +nan ±nan              0/0          0/0            —      106/344 31%    136/235 58%
  01-muk-glimmora-k v lucario       100   11.0    15.0      nan    +4.0 ±5.5     +nan ±nan              0/0          0/0            —       90/282 32%    121/190 64%
  01-muk-glimmora-k v sceptile      100    4.0     6.0      nan    +2.0 ±5.6     +nan ±nan              0/0          0/0            —      102/311 33%    131/217 60%
  01-muk-glimmora-k v suicune       100    8.0    13.0      nan    +5.0 ±6.5     +nan ±nan              0/0          0/0            —      123/324 38%    148/239 62%
  01-muk-glimmora-k v vespiquen     100   21.0    22.0      nan    +1.0 ±9.4     +nan ±nan              0/0          0/0            —      118/345 34%    152/227 67%
  01-muk-glimmora-k v weezing       100   20.0    20.0      nan    +0.0 ±7.9     +nan ±nan              0/0          0/0            —       82/305 27%    134/199 67%
  01-muk-glimmora-k v all eight     800   18.1    20.5      nan    +2.4 ±2.8     +nan ±nan              0/0          0/0            —     816/2561 32%  1101/1769 62%

  02-arceus-crobat v altaria        100   40.0    48.0      nan    +8.0 ±7.7     +nan ±nan              0/0          0/0            —       33/172 19%     46/127 36%
  02-arceus-crobat v blaziken       100   43.0    51.0      nan    +8.0 ±6.0     +nan ±nan              0/0          0/0            —       19/169 11%      51/96 53%
  02-arceus-crobat v hydreigon      100   39.0    43.0      nan    +4.0 ±8.3     +nan ±nan              0/0          0/0            —        16/198 8%     48/126 38%
  02-arceus-crobat v lucario        100   23.0    22.0      nan    -1.0 ±5.9     +nan ±nan              0/0          0/0            —       25/155 16%      46/94 49%
  02-arceus-crobat v sceptile       100   30.0    32.0      nan    +2.0 ±6.2     +nan ±nan              0/0          0/0            —       22/212 10%     50/121 41%
  02-arceus-crobat v suicune        100   17.0    22.0      nan    +5.0 ±5.8     +nan ±nan              0/0          0/0            —       22/191 12%     54/103 52%
  02-arceus-crobat v vespiquen      100   32.0    36.0      nan    +4.0 ±7.8     +nan ±nan              0/0          0/0            —       22/220 10%     54/135 40%
  02-arceus-crobat v weezing        100   30.0    36.0      nan    +6.0 ±7.3     +nan ±nan              0/0          0/0            —       22/227 10%     66/112 59%
  02-arceus-crobat v all eight      800   31.8    36.2      nan    +4.5 ±2.5     +nan ±nan              0/0          0/0            —     181/1544 12%    415/914 45%

  03-wailord-indeed v altaria       100   74.0    65.0      nan    -9.0 ±8.9     +nan ±nan              0/0          0/0            —       58/149 39%     66/109 61%
  03-wailord-indeed v blaziken      100   66.0    68.0      nan    +2.0 ±7.4     +nan ±nan              0/0          0/0            —       58/130 45%      66/98 67%
  03-wailord-indeed v hydreigon     100   70.0    73.0      nan    +3.0 ±5.2     +nan ±nan              0/0          0/0            —       67/152 44%     67/146 46%
  03-wailord-indeed v lucario       100   38.0    41.0      nan    +3.0 ±5.9     +nan ±nan              0/0          0/0            —       61/128 48%      65/93 70%
  03-wailord-indeed v sceptile      100   68.0    69.0      nan    +1.0 ±6.5     +nan ±nan              0/0          0/0            —       66/171 39%     75/129 58%
  03-wailord-indeed v suicune       100   61.0    62.0      nan    +1.0 ±6.5     +nan ±nan              0/0          0/0            —       58/249 23%     92/130 71%
  03-wailord-indeed v vespiquen     100   54.0    58.0      nan    +4.0 ±7.8     +nan ±nan              0/0          0/0            —       65/162 40%     79/112 71%
  03-wailord-indeed v weezing       100   73.0    71.0      nan    -2.0 ±8.3     +nan ±nan              0/0          0/0            —       52/192 27%     77/119 65%
  03-wailord-indeed v all eight     800   63.0    63.4      nan    +0.4 ±2.5     +nan ±nan              0/0          0/0            —     485/1333 36%    587/936 63%

  04-absol-hoopa-da v altaria       100   60.0    58.0      nan    -2.0 ±9.6     +nan ±nan              0/0          0/0            —        28/350 8%     97/223 43%
  04-absol-hoopa-da v blaziken      100   33.0    35.0      nan    +2.0 ±8.8     +nan ±nan              0/0          0/0            —        12/312 4%    111/199 56%
  04-absol-hoopa-da v hydreigon     100   58.0    60.0      nan    +2.0 ±9.2     +nan ±nan              0/0          0/0            —        12/363 3%    105/198 53%
  04-absol-hoopa-da v lucario       100   33.0    42.0      nan    +9.0 ±9.3     +nan ±nan              0/0          0/0            —         7/315 2%    102/195 52%
  04-absol-hoopa-da v sceptile      100   21.0    23.0      nan    +2.0 ±7.4     +nan ±nan              0/0          0/0            —         7/329 2%    102/224 46%
  04-absol-hoopa-da v suicune       100   16.0    26.0      nan   +10.0 ±8.1     +nan ±nan              0/0          0/0            —        16/367 4%    119/231 52%
  04-absol-hoopa-da v vespiquen     100   17.0    17.0      nan    +0.0 ±7.4     +nan ±nan              0/0          0/0            —        15/335 4%    105/215 49%
  04-absol-hoopa-da v weezing       100   33.0    37.0      nan    +4.0 ±10.0    +nan ±nan              0/0          0/0            —         7/359 2%    109/223 49%
  04-absol-hoopa-da v all eight     800   33.9    37.2      nan    +3.4 ±3.1     +nan ±nan              0/0          0/0            —      104/2730 4%   850/1708 50%

  05-indeedee-stout v altaria       100   23.0    25.0      nan    +2.0 ±6.8     +nan ±nan              0/0          0/0            —       88/277 32%    110/246 45%
  05-indeedee-stout v blaziken      100   19.0    20.0      nan    +1.0 ±4.4     +nan ±nan              0/0          0/0            —       57/225 25%     87/175 50%
  05-indeedee-stout v hydreigon     100   31.0    31.0      nan    +0.0 ±7.4     +nan ±nan              0/0          0/0            —       68/274 25%    103/213 48%
  05-indeedee-stout v lucario       100   31.0    30.0      nan    -1.0 ±5.2     +nan ±nan              0/0          0/0            —       79/251 31%    105/201 52%
  05-indeedee-stout v sceptile      100   17.0    16.0      nan    -1.0 ±5.2     +nan ±nan              0/0          0/0            —       57/358 16%    116/276 42%
  05-indeedee-stout v suicune       100   40.0    37.0      nan    -3.0 ±8.6     +nan ±nan              0/0          0/0            —       49/341 14%    114/226 50%
