Brew pilot check: Dustin's 24 brews under k3 and kp3   (2026-09-25 10:08)

Diagnostic add-on /home/dacz8976/diag-kp-addon/module/pdl_rl_env.abi3.so sha256 c048388b4bcf7103375ea0a1e7c9e965be8e350000c3ac873bd111b69e1eae19 (engine at c7cb688; not the verified 0.7.2 wheel).
60 paired deals per matchup, seeds 21,070,000,000 + brew x 1,000,000 + opponent x 10,000 + i. Games that did not replay exactly or raised an error: 0 of 23,040; a deal counts only when all 2 rows' games are clean.

Rows are brew pilot | opponent pilot. The brew's win % in each row; three paired differences (95% interval):
  'pilot' = kp3|k3 - k3|k3 (what k3 understates, against k3 opponents);
  'meta'  = kp3|kp3 - kp3|k3 (does it move again when the meta side prices too);
  'both'  = kp3|kp3 - k3|k3 (kp3 on both sides against k3 on both sides).
Per brew turn where Thieving Incisors (TI) / Copycat was on offer: turns the brew used it / turns on offer.

  brew v opponent                       n  k3|k3  kp3|k3  kp3|kp3         pilot          meta          both        TI k3|k3    TI kp3|k3   TI kp3|kp3    Copycat k3|k3 Copycat kp3|k3
  brew-06-pyukumuku-sil v altaria      60    8.3     nan      1.7    +nan ±nan     +nan ±nan     -6.7 ±6.4              0/0            —          0/0       64/176 36%              —
  brew-06-pyukumuku-sil v blaziken     60    5.0     nan      5.0    +nan ±nan     +nan ±nan     +0.0 ±4.7              0/0            —          0/0       59/141 42%              —
  brew-06-pyukumuku-sil v hydreigon    60   10.0     nan      8.3    +nan ±nan     +nan ±nan     -1.7 ±8.7              0/0            —          0/0       57/143 40%              —
  brew-06-pyukumuku-sil v lucario      60   10.0     nan      0.0    +nan ±nan     +nan ±nan    -10.0 ±7.7              0/0            —          0/0       69/185 37%              —
  brew-06-pyukumuku-sil v sceptile     60    5.0     nan      1.7    +nan ±nan     +nan ±nan     -3.3 ±6.5              0/0            —          0/0       66/145 46%              —
  brew-06-pyukumuku-sil v suicune      60    3.3     nan      0.0    +nan ±nan     +nan ±nan     -3.3 ±4.6              0/0            —          0/0       59/137 43%              —
  brew-06-pyukumuku-sil v vespiquen    60   21.7     nan     16.7    +nan ±nan     +nan ±nan     -5.0 ±9.8              0/0            —          0/0       62/186 33%              —
  brew-06-pyukumuku-sil v weezing      60    1.7     nan      1.7    +nan ±nan     +nan ±nan     +0.0 ±4.7              0/0            —          0/0       60/131 46%              —
  brew-06-pyukumuku-sil v all eight   480    8.1     nan      4.4    +nan ±nan     +nan ±nan     -3.8 ±2.4              0/0            —          0/0     496/1244 40%              —

  brew-06b-pyukumuku-si v altaria      60   18.3     nan     23.3    +nan ±nan     +nan ±nan     +5.0 ±11.8             0/0            —          0/0       52/176 30%              —
  brew-06b-pyukumuku-si v blaziken     60   10.0     nan      8.3    +nan ±nan     +nan ±nan     -1.7 ±7.4              0/0            —          0/0       39/156 25%              —
  brew-06b-pyukumuku-si v hydreigon    60   33.3     nan     28.3    +nan ±nan     +nan ±nan     -5.0 ±14.3             0/0            —          0/0       34/143 24%              —
  brew-06b-pyukumuku-si v lucario      60   21.7     nan     15.0    +nan ±nan     +nan ±nan     -6.7 ±10.3             0/0            —          0/0       45/185 24%              —
  brew-06b-pyukumuku-si v sceptile     60    6.7     nan      8.3    +nan ±nan     +nan ±nan     +1.7 ±7.4              0/0            —          0/0       47/136 35%              —
  brew-06b-pyukumuku-si v suicune      60   10.0     nan      5.0    +nan ±nan     +nan ±nan     -5.0 ±7.3              0/0            —          0/0       50/157 32%              —
  brew-06b-pyukumuku-si v vespiquen    60   30.0     nan     30.0    +nan ±nan     +nan ±nan     +0.0 ±13.2             0/0            —          0/0       41/180 23%              —
  brew-06b-pyukumuku-si v weezing      60   20.0     nan     20.0    +nan ±nan     +nan ±nan     +0.0 ±10.4             0/0            —          0/0       54/149 36%              —
  brew-06b-pyukumuku-si v all eight   480   18.8     nan     17.3    +nan ±nan     +nan ±nan     -1.5 ±3.7              0/0            —          0/0     362/1282 28%              —

  brew-05b-meowstic-hat v altaria      60   48.3     nan     43.3    +nan ±nan     +nan ±nan     -5.0 ±15.7             0/0            —          0/0       21/217 10%              —
  brew-05b-meowstic-hat v blaziken     60   35.0     nan     40.0    +nan ±nan     +nan ±nan     +5.0 ±17.1             0/0            —          0/0       25/192 13%              —
  brew-05b-meowstic-hat v hydreigon    60   20.0     nan     10.0    +nan ±nan     +nan ±nan    -10.0 ±12.1             0/0            —          0/0       31/170 18%              —
  brew-05b-meowstic-hat v lucario      60   63.3     nan     61.7    +nan ±nan     +nan ±nan     -1.7 ±12.8             0/0            —          0/0       30/195 15%              —
  brew-05b-meowstic-hat v sceptile     60   20.0     nan     23.3    +nan ±nan     +nan ±nan     +3.3 ±11.4             0/0            —          0/0       37/222 17%              —
  brew-05b-meowstic-hat v suicune      60   25.0     nan     25.0    +nan ±nan     +nan ±nan     +0.0 ±9.3              0/0            —          0/0       37/185 20%              —
  brew-05b-meowstic-hat v vespiquen    60   20.0     nan     16.7    +nan ±nan     +nan ±nan     -3.3 ±12.3             0/0            —          0/0       40/190 21%              —
  brew-05b-meowstic-hat v weezing      60   21.7     nan     15.0    +nan ±nan     +nan ±nan     -6.7 ±10.3             0/0            —          0/0       25/166 15%              —
  brew-05b-meowstic-hat v all eight   480   31.7     nan     29.4    +nan ±nan     +nan ±nan     -2.3 ±4.5              0/0            —          0/0     246/1537 16%              —

  brew-01-arceus-crobat v altaria      60   30.0     nan     35.0    +nan ±nan     +nan ±nan     +5.0 ±12.7             0/0            —          0/0              0/0              —
  brew-01-arceus-crobat v blaziken     60   25.0     nan     20.0    +nan ±nan     +nan ±nan     -5.0 ±9.8              0/0            —          0/0              0/0              —
  brew-01-arceus-crobat v hydreigon    60   30.0     nan      8.3    +nan ±nan     +nan ±nan    -21.7 ±12.4             0/0            —          0/0              0/0              —
  brew-01-arceus-crobat v lucario      60   21.7     nan     15.0    +nan ±nan     +nan ±nan     -6.7 ±7.9              0/0            —          0/0              0/0              —
  brew-01-arceus-crobat v sceptile     60   21.7     nan     20.0    +nan ±nan     +nan ±nan     -1.7 ±8.7              0/0            —          0/0              0/0              —
  brew-01-arceus-crobat v suicune      60   13.3     nan     11.7    +nan ±nan     +nan ±nan     -1.7 ±5.7              0/0            —          0/0              0/0              —
  brew-01-arceus-crobat v vespiquen    60   16.7     nan     13.3    +nan ±nan     +nan ±nan     -3.3 ±8.0              0/0            —          0/0              0/0              —
  brew-01-arceus-crobat v weezing      60   21.7     nan     18.3    +nan ±nan     +nan ±nan     -3.3 ±9.3              0/0            —          0/0              0/0              —
  brew-01-arceus-crobat v all eight   480   22.5     nan     17.7    +nan ±nan     +nan ±nan     -4.8 ±3.4              0/0            —          0/0              0/0              —

  brew-03a-arceus-nihil v altaria      60   51.7     nan     40.0    +nan ±nan     +nan ±nan    -11.7 ±12.4             0/0            —          0/0              0/0              —
  brew-03a-arceus-nihil v blaziken     60   20.0     nan     15.0    +nan ±nan     +nan ±nan     -5.0 ±10.9             0/0            —          0/0              0/0              —
  brew-03a-arceus-nihil v hydreigon    60   15.0     nan     11.7    +nan ±nan     +nan ±nan     -3.3 ±10.4             0/0            —          0/0              0/0              —
  brew-03a-arceus-nihil v lucario      60   13.3     nan      5.0    +nan ±nan     +nan ±nan     -8.3 ±7.1              0/0            —          0/0              0/0              —
  brew-03a-arceus-nihil v sceptile     60   18.3     nan     16.7    +nan ±nan     +nan ±nan     -1.7 ±5.7              0/0            —          0/0              0/0              —
  brew-03a-arceus-nihil v suicune      60   13.3     nan      8.3    +nan ±nan     +nan ±nan     -5.0 ±5.6              0/0            —          0/0              0/0              —
  brew-03a-arceus-nihil v vespiquen    60    6.7     nan      5.0    +nan ±nan     +nan ±nan     -1.7 ±5.7              0/0            —          0/0              0/0              —
  brew-03a-arceus-nihil v weezing      60   13.3     nan      8.3    +nan ±nan     +nan ±nan     -5.0 ±9.8              0/0            —          0/0              0/0              —
  brew-03a-arceus-nihil v all eight   480   19.0     nan     13.8    +nan ±nan     +nan ±nan     -5.2 ±3.1              0/0            —          0/0              0/0              —

  brew-07-hoopa-darkrai v altaria      60   71.7     nan     70.0    +nan ±nan     +nan ±nan     -1.7 ±10.9             0/0            —          0/0        13/96 14%              —
  brew-07-hoopa-darkrai v blaziken     60   61.7     nan     66.7    +nan ±nan     +nan ±nan     +5.0 ±13.5             0/0            —          0/0         4/126 3%              —
  brew-07-hoopa-darkrai v hydreigon    60   85.0     nan     81.7    +nan ±nan     +nan ±nan     -3.3 ±9.3              0/0            —          0/0         6/111 5%              —
  brew-07-hoopa-darkrai v lucario      60   48.3     nan     48.3    +nan ±nan     +nan ±nan     +0.0 ±14.0             0/0            —          0/0         8/118 7%              —
  brew-07-hoopa-darkrai v sceptile     60   26.7     nan     28.3    +nan ±nan     +nan ±nan     +1.7 ±9.9              0/0            —          0/0         8/107 7%              —
  brew-07-hoopa-darkrai v suicune      60   66.7     nan     58.3    +nan ±nan     +nan ±nan     -8.3 ±11.7             0/0            —          0/0         6/166 4%              —
  brew-07-hoopa-darkrai v vespiquen    60   53.3     nan     56.7    +nan ±nan     +nan ±nan     +3.3 ±14.0             0/0            —          0/0         4/129 3%              —
  brew-07-hoopa-darkrai v weezing      60   70.0     nan     70.0    +nan ±nan     +nan ±nan     +0.0 ±12.3             0/0            —          0/0       10/100 10%              —
  brew-07-hoopa-darkrai v all eight   480   60.4     nan     60.0    +nan ±nan     +nan ±nan     -0.4 ±4.2              0/0            —          0/0        59/953 6%              —

  brew-08-entei-rainbow v altaria      60   41.7     nan     38.3    +nan ±nan     +nan ±nan     -3.3 ±16.1             0/0            —          0/0       33/252 13%              —
  brew-08-entei-rainbow v blaziken     60   31.7     nan     18.3    +nan ±nan     +nan ±nan    -13.3 ±12.7             0/0            —          0/0        17/230 7%              —
  brew-08-entei-rainbow v hydreigon    60   85.0     nan     51.7    +nan ±nan     +nan ±nan    -33.3 ±15.2             0/0            —          0/0        23/318 7%              —
  brew-08-entei-rainbow v lucario      60   36.7     nan     36.7    +nan ±nan     +nan ±nan     +0.0 ±14.0             0/0            —          0/0        18/220 8%              —
  brew-08-entei-rainbow v sceptile     60   53.3     nan     53.3    +nan ±nan     +nan ±nan     +0.0 ±14.0             0/0            —          0/0       30/251 12%              —
  brew-08-entei-rainbow v suicune      60   26.7     nan     30.0    +nan ±nan     +nan ±nan     +3.3 ±12.3             0/0            —          0/0        22/245 9%              —
  brew-08-entei-rainbow v vespiquen    60   76.7     nan     76.7    +nan ±nan     +nan ±nan     +0.0 ±15.5             0/0            —          0/0       23/233 10%              —
  brew-08-entei-rainbow v weezing      60   48.3     nan     45.0    +nan ±nan     +nan ±nan     -3.3 ±17.4             0/0            —          0/0        18/242 7%              —
  brew-08-entei-rainbow v all eight   480   50.0     nan     43.8    +nan ±nan     +nan ±nan     -6.2 ±5.3              0/0            —          0/0      184/1991 9%              —

  brew-09-sableye-obsta v altaria      60   61.7     nan     61.7    +nan ±nan     +nan ±nan     +0.0 ±14.7             0/0            —          0/0       35/194 18%              —
