dataset,cell_set,a,a_deck_name,b,b_deck_name,W,L,T,DL,n,score_pct,band95_pts
development,coverage,scizor,Mega Scizor ex Revavroom,lucario,Mega Lucario ex Lucario,3,1,0,0,4,75.00,42.44
development,coverage,scizor,Mega Scizor ex Revavroom,altaria,Mega Altaria ex Espeon,1,5,0,0,6,16.67,29.82
development,coverage,scizor,Mega Scizor ex Revavroom,sceptile,Butterfree Mega Sceptile ex,0,1,0,0,1,0.00,0.00
development,coverage,scizor,Mega Scizor ex Revavroom,vespiquen,Vespiquen ex Shuckle ex,0,2,0,0,2,0.00,0.00
development,coverage,scizor,Mega Scizor ex Revavroom,suicune,Suicune ex Baxcalibur,2,1,1,0,4,62.50,47.44
development,coverage,scizor,Mega Scizor ex Revavroom,hydreigon,Hydreigon Mega Absol ex,0,0,0,0,0,,
development,coverage,scizor,Mega Scizor ex Revavroom,weezing,Team Rocket's Weezing ex Hoopa ex,0,1,0,0,1,0.00,0.00
development,coverage,scizor,Mega Scizor ex Revavroom,blaziken,Mega Blaziken ex,0,0,0,0,0,,
development,new_scoreboard,rayquaza,Dragonair Mega Rayquaza ex,lucario,Mega Lucario ex Lucario,42,15,1,4,58,73.28,11.39
development,new_scoreboard,rayquaza,Dragonair Mega Rayquaza ex,altaria,Mega Altaria ex Espeon,39,44,3,2,86,47.09,10.55
development,new_scoreboard,rayquaza,Dragonair Mega Rayquaza ex,sceptile,Butterfree Mega Sceptile ex,20,25,5,1,50,45.00,13.79
development,new_scoreboard,rayquaza,Dragonair Mega Rayquaza ex,vespiquen,Vespiquen ex Shuckle ex,21,13,2,0,36,61.11,15.92
development,new_scoreboard,rayquaza,Dragonair Mega Rayquaza ex,suicune,Suicune ex Baxcalibur,9,17,2,1,28,35.71,17.75
development,new_scoreboard,rayquaza,Dragonair Mega Rayquaza ex,hydreigon,Hydreigon Mega Absol ex,7,13,0,0,20,35.00,20.90
development,new_scoreboard,rayquaza,Dragonair Mega Rayquaza ex,weezing,Team Rocket's Weezing ex Hoopa ex,3,12,0,0,15,20.00,20.24
development,new_scoreboard,rayquaza,Dragonair Mega Rayquaza ex,blaziken,Mega Blaziken ex,4,4,0,0,8,50.00,34.65
development,new_scoreboard,altaria_greninja,Mega Altaria ex Greninja,lucario,Mega Lucario ex Lucario,30,13,2,0,45,68.89,13.53
development,new_scoreboard,altaria_greninja,Mega Altaria ex Greninja,altaria,Mega Altaria ex Espeon,22,39,7,2,68,37.50,11.51
