pairing	block	held_key	held_file	opponent	panel_file	seed_first	seed_last	sub_block_end	deck	version	variant_side
8	scoreboard	rayquaza	decks/gauntlet_2026-09-26/g-dragonair_mega_rayquaza.txt	lucario	decks/screen/opponents/t-lucario.txt	21108080000	21108080499	21108089999	rayquaza	rayquaza	a
9	scoreboard	rayquaza	decks/gauntlet_2026-09-26/g-dragonair_mega_rayquaza.txt	altaria	decks/screen/opponents/t-altaria.txt	21108090000	21108090499	21108099999	rayquaza	rayquaza	a
10	scoreboard	rayquaza	decks/gauntlet_2026-09-26/g-dragonair_mega_rayquaza.txt	sceptile	decks/screen/opponents/t-sceptile.txt	21108100000	21108100499	21108109999	rayquaza	rayquaza	a
11	scoreboard	rayquaza	decks/gauntlet_2026-09-26/g-dragonair_mega_rayquaza.txt	vespiquen	decks/screen/opponents/t-vespiquen.txt	21108110000	21108110499	21108119999	rayquaza	rayquaza	a
12	scoreboard	rayquaza	decks/gauntlet_2026-09-26/g-dragonair_mega_rayquaza.txt	suicune	decks/screen/opponents/t-suicune.txt	21108120000	21108120499	21108129999	rayquaza	rayquaza	a
13	scoreboard	rayquaza	decks/gauntlet_2026-09-26/g-dragonair_mega_rayquaza.txt	hydreigon	decks/screen/opponents/t-hydreigon.txt	21108130000	21108130499	21108139999	rayquaza	rayquaza	a
14	scoreboard	rayquaza	decks/gauntlet_2026-09-26/g-dragonair_mega_rayquaza.txt	weezing	decks/screen/opponents/t-weezing.txt	21108140000	21108140499	21108149999	rayquaza	rayquaza	a
15	scoreboard	rayquaza	decks/gauntlet_2026-09-26/g-dragonair_mega_rayquaza.txt	blaziken	decks/screen/opponents/t-blaziken.txt	21108150000	21108150499	21108159999	rayquaza	rayquaza	a
16	scoreboard	altaria_greninja	decks/gauntlet_2026-09-26/g-mega_altaria_greninja.txt	lucario	decks/screen/opponents/t-lucario.txt	21108160000	21108160499	21108169999	altaria_greninja	altaria_greninja	a
17	scoreboard	altaria_greninja	decks/gauntlet_2026-09-26/g-mega_altaria_greninja.txt	altaria	decks/screen/opponents/t-altaria.txt	21108170000	21108170499	21108179999	altaria_greninja	altaria_greninja	a
18	scoreboard	altaria_greninja	decks/gauntlet_2026-09-26/g-mega_altaria_greninja.txt	sceptile	decks/screen/opponents/t-sceptile.txt	21108180000	21108180499	21108189999	altaria_greninja	altaria_greninja	a
19	scoreboard	altaria_greninja	decks/gauntlet_2026-09-26/g-mega_altaria_greninja.txt	vespiquen	decks/screen/opponents/t-vespiquen.txt	21108190000	21108190499	21108199999	altaria_greninja	altaria_greninja	a
20	scoreboard	altaria_greninja	decks/gauntlet_2026-09-26/g-mega_altaria_greninja.txt	suicune	decks/screen/opponents/t-suicune.txt	21108200000	21108200499	21108209999	altaria_greninja	altaria_greninja	a
21	scoreboard	altaria_greninja	decks/gauntlet_2026-09-26/g-mega_altaria_greninja.txt	hydreigon	decks/screen/opponents/t-hydreigon.txt	21108210000	21108210499	21108219999	altaria_greninja	altaria_greninja	a
22	scoreboard	altaria_greninja	decks/gauntlet_2026-09-26/g-mega_altaria_greninja.txt	weezing	decks/screen/opponents/t-weezing.txt	21108220000	21108220499	21108229999	altaria_greninja	altaria_greninja	a
23	scoreboard	altaria_greninja	decks/gauntlet_2026-09-26/g-mega_altaria_greninja.txt	blaziken	decks/screen/opponents/t-blaziken.txt	21108230000	21108230499	21108239999	altaria_greninja	altaria_greninja	a
24	scoreboard	rayquaza	decks/gauntlet_2026-09-26/g-dragonair_mega_rayquaza.txt	altaria_greninja	decks/gauntlet_2026-09-26/g-mega_altaria_greninja.txt	21108240000	21108240499	21108249999	rayquaza	rayquaza	a
