archetype,deck_id,player,player_name,event_id,event_name,event_size,date,placing,record,cards_carried,carries_switch1_card,same_name_other_printing,n_cards_in_list,url
Butterfree Mega Sceptile ex,butterfree-b3b-mega-sceptile-ex-b3,fitypaldis,Fitypaldis,6aa17ddeab080c8c957ff0fe,Dark League Pocket Tournament | 20$USD Prize Pool,118,2026-09-12T20:30:00.000Z,10,7-3-0,Protective Poncho x1 [B2 147],False,,20,https://play.limitlesstcg.com/tournament/6aa17ddeab080c8c957ff0fe/player/fitypaldis/decklist
Butterfree Mega Sceptile ex,butterfree-b3b-mega-sceptile-ex-b3,khaeruibnum,khaeruibnum,6aaac3d9f1243e65f9802bad,🥊 20$ BEC'S KING OF THE HILL - ANY FA PRIZE!,95,2026-09-18T13:00:00.000Z,65,0-1-0,Protective Poncho x1 [B2 147],False,,20,https://play.limitlesstcg.com/tournament/6aaac3d9f1243e65f9802bad/player/khaeruibnum/decklist
Butterfree Mega Sceptile ex,butterfree-b3b-mega-sceptile-ex-b3,azin,Azin,6aa1e900a4272c53be64c5ce,THE BREAKFAST CLUB KELP CLASSIC #9 - $5,64,2026-09-10T03:20:00.000Z,,1-3-0,Protective Poncho x1 [B2 147],False,,20,https://play.limitlesstcg.com/tournament/6aa1e900a4272c53be64c5ce/player/azin/decklist
Dedenne ex Indeedee ex,dedenne-ex-b3b-indeedee-ex-b1,twidleurstixx,TwidleUrStixx,6aaad41638886b36383c1ad5,Pop Up Series 9 || FA OAK,27,2026-09-17T03:00:00.000Z,1,7-0-1,Protective Poncho x1 [B2 147],False,,20,https://play.limitlesstcg.com/tournament/6aaad41638886b36383c1ad5/player/twidleurstixx/decklist
Dedenne ex Indeedee ex,dedenne-ex-b3b-indeedee-ex-b1,golfermt,golfermt,6a8b75058302ae761e5fab7e,FAREWELL B4!|2x Hoopa ex RR Prize+More!|TH Series,81,2026-08-26T16:15:00.000Z,2,8-2-1,Protective Poncho x1 [B2 147],False,,20,https://play.limitlesstcg.com/tournament/6a8b75058302ae761e5fab7e/player/golfermt/decklist
Dedenne ex Indeedee ex,dedenne-ex-b3b-indeedee-ex-b1,hate_hardpeach,Hate_HardPeach,6a98fd1ba4272c53be6457c3,TBC The Rowdy Russell Rumble-$20-QUICK,53,2026-09-03T05:15:00.000Z,2,6-2-2,Protective Poncho x1 [B2 147],False,,20,https://play.limitlesstcg.com/tournament/6a98fd1ba4272c53be6457c3/player/hate_hardpeach/decklist
Dedenne ex Indeedee ex,dedenne-ex-b3b-indeedee-ex-b1,golfermt,golfermt,6a9718fd629039f77d8a790e,Plasma Daily #23| Team Rocket's Ambitions| FA Card,119,2026-09-02T17:00:00.000Z,4,7-2-1,Protective Poncho x1 [B2 147],False,,20,https://play.limitlesstcg.com/tournament/6a9718fd629039f77d8a790e/player/golfermt/decklist
Dedenne ex Indeedee ex,dedenne-ex-b3b-indeedee-ex-b1,rfine,Rfine,6a9e12feab080c8c957fc84e,♨️Sauna X Ev4de POG Tournament #27|10 USD+Top 4 FA,73,2026-09-11T03:10:00.000Z,5,5-2-1,Protective Poncho x1 [B2 147],False,,20,https://play.limitlesstcg.com/tournament/6a9e12feab080c8c957fc84e/player/rfine/decklist
Dedenne ex Indeedee ex,dedenne-ex-b3b-indeedee-ex-b1,acad,Acad,6a9b22fba4272c53be646f96,OTS Pokemon TCG Pocket Arena Pop Up,14,2026-09-04T22:00:00.000Z,5,2-2-1,Protective Poncho x1 [B2 147],False,,20,https://play.limitlesstcg.com/tournament/6a9b22fba4272c53be646f96/player/acad/decklist
Dedenne ex Indeedee ex,dedenne-ex-b3b-indeedee-ex-b1,aguxjuega99,Aguxjuega99,6a99bbffa4272c53be645f44,Block Dragon Pop Up (RR Team Rockets Raticate),60,2026-09-03T20:45:00.000Z,6,6-2-0,Protective Poncho x1 [B2 147],False,,20,https://play.limitlesstcg.com/tournament/6a99bbffa4272c53be645f44/player/aguxjuega99/decklist
Dedenne ex Indeedee ex,dedenne-ex-b3b-indeedee-ex-b1,tendoreezy,tendoreezy,6aa682e4f1243e65f97ffebe,The PokeBounty Showdown Sunday Pop Up,83,2026-09-13T16:30:00.000Z,8,5-3-1,Protective Poncho x1 [B2 147],False,,20,https://play.limitlesstcg.com/tournament/6aa682e4f1243e65f97ffebe/player/tendoreezy/decklist
Dedenne ex Indeedee ex,dedenne-ex-b3b-indeedee-ex-b1,pikatravai,Pikatravai,6a8f27e57a62de813013fb20,The Breakfast Club Pop Up-$5+FA,69,2026-08-26T21:00:00.000Z,9,5-2-0,Protective Poncho x1 [B2 147],False,,20,https://play.limitlesstcg.com/tournament/6a8f27e57a62de813013fb20/player/pikatravai/decklist
Dedenne ex Indeedee ex,dedenne-ex-b3b-indeedee-ex-b1,petapetachu,petapetachu,6aa6410b38886b36383be710,🏰FORT TOURNAMENTS POCKET DEBUT🏰 $20 + FA CARDS,114,2026-09-14T10:30:00.000Z,12,6-2-0,Protective Poncho x2 [B2 147]; Rocky Helmet x1 [A2 148],False,,20,https://play.limitlesstcg.com/tournament/6aa6410b38886b36383be710/player/petapetachu/decklist
Dedenne ex Indeedee ex,dedenne-ex-b3b-indeedee-ex-b1,feherlac,Feherlac,6a96b86babb948223750549c,Dark League Pop Up,46,2026-09-01T14:15:00.000Z,13,5-3-0,Protective Poncho x1 [B2 147],False,,20,https://play.limitlesstcg.com/tournament/6a96b86babb948223750549c/player/feherlac/decklist
Dedenne ex Indeedee ex,dedenne-ex-b3b-indeedee-ex-b1,mirandolla,𝗦𝗗𝗘 | Jhon Lenon,6aa5a7da38886b36383bdfcd,🇧🇷 Hit Sparrow #12 | TCG Pocket,17,2026-09-16T22:00:00.000Z,13,0-3-0,Protective Poncho x2 [B2 147],False,,20,https://play.limitlesstcg.com/tournament/6aa5a7da38886b36383bdfcd/player/mirandolla/decklist
Dedenne ex Indeedee ex,dedenne-ex-b3b-indeedee-ex-b1,ratatouillet27,𝐓𝐌 I OldCaT .,6a8ea2690580a332c8420304,Rozey Birthday Pop Up By Dark league,29,2026-08-26T10:35:00.000Z,16,2-3-0,Protective Poncho x1 [B2 147],False,,20,https://play.limitlesstcg.com/tournament/6a8ea2690580a332c8420304/player/ratatouillet27/decklist
Dedenne ex Indeedee ex,dedenne-ex-b3b-indeedee-ex-b1,bigslowpokefan,BigSlowpokeFan,6a8c5eb881741245b151d7e3,PMPT #44 - TEAM ROCKETS AMBITION!!! | $100 USD,378,2026-08-29T16:00:00.000Z,17,8-2-0,Protective Poncho x1 [B2 147],False,,20,https://play.limitlesstcg.com/tournament/6a8c5eb881741245b151d7e3/player/bigslowpokefan/decklist
Dedenne ex Indeedee ex,dedenne-ex-b3b-indeedee-ex-b1,hidalgo1,hidalgo1,6aa1e900a4272c53be64c5ce,THE BREAKFAST CLUB KELP CLASSIC #9 - $5,64,2026-09-10T03:20:00.000Z,17,4-3-0,Protective Poncho x1 [B2 147],False,,20,https://play.limitlesstcg.com/tournament/6aa1e900a4272c53be64c5ce/player/hidalgo1/decklist
Dedenne ex Indeedee ex,dedenne-ex-b3b-indeedee-ex-b1,hate_hardpeach,Hate_HardPeach,6a96069dabb9482237504f7f,Plasma Daily #22| Team Rocket's Ambitions| FA Card,113,2026-09-01T17:00:00.000Z,18,5-2-0,Protective Poncho x1 [B2 147],False,,20,https://play.limitlesstcg.com/tournament/6a96069dabb9482237504f7f/player/hate_hardpeach/decklist
Dedenne ex Indeedee ex,dedenne-ex-b3b-indeedee-ex-b1,xctloya26,PTSD | Xctloya26,6aa89ad438886b36383c071a,✧･❀🌸Flutter Festival Debut! -15$🌸❀･✧,80,2026-09-16T23:30:00.000Z,18,4-3-0,Protective Poncho x1 [B2 147],False,,20,https://play.limitlesstcg.com/tournament/6aa89ad438886b36383c071a/player/xctloya26/decklist
