dataset,archetype,deck_name,opponent,opponent_deck_name,W,L,T,DL,n,score_pct,band95_pts,lo_pct,hi_pct,W_bo1,L_bo1,T_bo1,DL_bo1,n_bo1,score_bo1_pct,band95_bo1_pts
development,dragonair_mega_rayquaza_ex,Dragonair Mega Rayquaza ex,lucario,Mega Lucario ex Lucario,42,15,1,4,58,73.3,11.4,61.9,84.7,30,11,1,4,42,72.6,13.5
development,dragonair_mega_rayquaza_ex,Dragonair Mega Rayquaza ex,altaria,Mega Altaria ex Espeon,39,44,3,2,86,47.1,10.5,36.5,57.6,25,28,2,2,55,47.3,13.2
development,dragonair_mega_rayquaza_ex,Dragonair Mega Rayquaza ex,sceptile,Butterfree Mega Sceptile ex,20,25,5,1,50,45.0,13.8,31.2,58.8,13,18,5,1,36,43.1,16.2
development,dragonair_mega_rayquaza_ex,Dragonair Mega Rayquaza ex,vespiquen,Vespiquen ex Shuckle ex,21,13,2,0,36,61.1,15.9,45.2,77.0,13,10,1,0,24,56.2,19.8
development,dragonair_mega_rayquaza_ex,Dragonair Mega Rayquaza ex,suicune,Suicune ex Baxcalibur,9,17,2,1,28,35.7,17.7,18.0,53.5,8,13,2,1,23,39.1,19.9
development,dragonair_mega_rayquaza_ex,Dragonair Mega Rayquaza ex,hydreigon,Hydreigon Mega Absol ex,7,13,0,0,20,35.0,20.9,14.1,55.9,6,11,0,0,17,35.3,22.7
development,dragonair_mega_rayquaza_ex,Dragonair Mega Rayquaza ex,weezing,Team Rocket's Weezing ex Hoopa ex,3,12,0,0,15,20.0,20.2,0.0,40.2,3,9,0,0,12,25.0,24.5
development,dragonair_mega_rayquaza_ex,Dragonair Mega Rayquaza ex,blaziken,Mega Blaziken ex,4,4,0,0,8,50.0,34.6,15.4,84.6,2,4,0,0,6,33.3,37.7
development,dragonair_mega_rayquaza_ex,Dragonair Mega Rayquaza ex,panel_equal_weight,8 of 8 opponents with n>0,145,143,13,8,301,45.9,6.9,39.0,52.8,100,104,11,8,215,,
development,dragonair_mega_rayquaza_ex,Dragonair Mega Rayquaza ex,panel_pooled,all panel matches pooled (match-weighted),145,143,13,8,301,50.3,5.6,44.7,56.0,100,104,11,8,215,49.1,6.7
pooled,dragonair_mega_rayquaza_ex,Dragonair Mega Rayquaza ex,lucario,Mega Lucario ex Lucario,76,43,1,5,120,63.7,8.6,55.1,72.4,52,26,1,5,79,66.5,10.4
pooled,dragonair_mega_rayquaza_ex,Dragonair Mega Rayquaza ex,altaria,Mega Altaria ex Espeon,82,83,8,3,173,49.7,7.5,42.3,57.2,43,49,6,3,98,46.9,9.9
pooled,dragonair_mega_rayquaza_ex,Dragonair Mega Rayquaza ex,sceptile,Butterfree Mega Sceptile ex,38,51,5,2,94,43.1,10.0,33.1,53.1,22,34,5,2,61,40.2,12.3
pooled,dragonair_mega_rayquaza_ex,Dragonair Mega Rayquaza ex,vespiquen,Vespiquen ex Shuckle ex,33,28,3,1,64,53.9,12.2,41.7,66.1,19,16,1,0,36,54.2,16.3
pooled,dragonair_mega_rayquaza_ex,Dragonair Mega Rayquaza ex,suicune,Suicune ex Baxcalibur,20,30,4,1,54,40.7,13.1,27.6,53.8,15,18,4,1,37,45.9,16.1
pooled,dragonair_mega_rayquaza_ex,Dragonair Mega Rayquaza ex,hydreigon,Hydreigon Mega Absol ex,20,30,0,0,50,40.0,13.6,26.4,53.6,11,21,0,0,32,34.4,16.5
pooled,dragonair_mega_rayquaza_ex,Dragonair Mega Rayquaza ex,weezing,Team Rocket's Weezing ex Hoopa ex,10,18,0,1,28,35.7,17.7,18.0,53.5,8,12,0,1,20,40.0,21.5
pooled,dragonair_mega_rayquaza_ex,Dragonair Mega Rayquaza ex,blaziken,Mega Blaziken ex,10,13,0,1,23,43.5,20.3,23.2,63.7,2,11,0,1,13,15.4,19.6
pooled,dragonair_mega_rayquaza_ex,Dragonair Mega Rayquaza ex,panel_equal_weight,8 of 8 opponents with n>0,289,296,21,14,606,46.3,4.8,41.5,51.1,172,187,17,13,376,,
pooled,dragonair_mega_rayquaza_ex,Dragonair Mega Rayquaza ex,panel_pooled,all panel matches pooled (match-weighted),289,296,21,14,606,49.4,4.0,45.4,53.4,172,187,17,13,376,48.0,5.0
