dataset,archetype,opponent,opponent_deck_name,W,L,T,DL,n,score_pct,band95_pts,W_bo1,L_bo1,T_bo1,n_bo1,score_bo1_pct
development,Jumpluff ex Team Rocket's Electrode,lucario,Mega Lucario ex Lucario,5,5,1,1,11,50.0,29.5,5,4,1,10,55.0
development,Jumpluff ex Team Rocket's Electrode,altaria,Mega Altaria ex Espeon,2,5,0,0,7,28.6,33.5,1,5,0,6,16.7
development,Jumpluff ex Team Rocket's Electrode,sceptile,Butterfree Mega Sceptile ex,1,5,0,0,6,16.7,29.8,1,3,0,4,25.0
development,Jumpluff ex Team Rocket's Electrode,vespiquen,Vespiquen ex Shuckle ex,9,0,0,0,9,100.0,0.0,9,0,0,9,100.0
development,Jumpluff ex Team Rocket's Electrode,suicune,Suicune ex Baxcalibur,2,3,0,0,5,40.0,42.9,2,2,0,4,50.0
development,Jumpluff ex Team Rocket's Electrode,hydreigon,Hydreigon Mega Absol ex,3,1,0,0,4,75.0,42.4,1,1,0,2,50.0
development,Jumpluff ex Team Rocket's Electrode,weezing,Team Rocket's Weezing ex Hoopa ex,0,4,1,0,5,10.0,26.3,0,3,1,4,12.5
development,Jumpluff ex Team Rocket's Electrode,blaziken,Mega Blaziken ex,0,0,0,0,0,,,0,0,0,0,
development,Jumpluff ex Team Rocket's Electrode,panel_equal_weight,7 of 8 opponents with n>0,22,23,2,1,47,45.7,12.1,19,18,2,39,
development,Jumpluff ex Team Rocket's Electrode,panel_pooled,all panel matches pooled (match-weighted),22,23,2,1,47,48.9,14.3,19,18,2,39,51.3
pooled,Jumpluff ex Team Rocket's Electrode,lucario,Mega Lucario ex Lucario,7,10,1,3,18,41.7,22.8,7,7,1,15,50.0
pooled,Jumpluff ex Team Rocket's Electrode,altaria,Mega Altaria ex Espeon,7,9,0,2,16,43.8,24.3,3,7,0,10,30.0
pooled,Jumpluff ex Team Rocket's Electrode,sceptile,Butterfree Mega Sceptile ex,2,8,0,0,10,20.0,24.8,2,5,0,7,28.6
pooled,Jumpluff ex Team Rocket's Electrode,vespiquen,Vespiquen ex Shuckle ex,12,1,0,0,13,92.3,14.5,11,1,0,12,91.7
pooled,Jumpluff ex Team Rocket's Electrode,suicune,Suicune ex Baxcalibur,4,7,0,0,11,36.4,28.4,2,4,0,6,33.3
pooled,Jumpluff ex Team Rocket's Electrode,hydreigon,Hydreigon Mega Absol ex,6,6,0,0,12,50.0,28.3,4,5,0,9,44.4
pooled,Jumpluff ex Team Rocket's Electrode,weezing,Team Rocket's Weezing ex Hoopa ex,0,9,1,0,10,5.0,13.5,0,6,1,7,7.1
pooled,Jumpluff ex Team Rocket's Electrode,blaziken,Mega Blaziken ex,1,3,0,0,4,25.0,42.4,0,1,0,1,0.0
pooled,Jumpluff ex Team Rocket's Electrode,panel_equal_weight,8 of 8 opponents with n>0,39,53,2,5,94,39.3,9.3,29,36,2,67,
pooled,Jumpluff ex Team Rocket's Electrode,panel_pooled,all panel matches pooled (match-weighted),39,53,2,5,94,42.6,10.0,29,36,2,67,44.8
