dataset,archetype,deck_name,opponent,opponent_deck_name,W,L,T,DL,n,score_pct,band95_pts,lo_pct,hi_pct,W_bo1,L_bo1,T_bo1,DL_bo1,n_bo1,score_bo1_pct,band95_bo1_pts,n_incl_dl,score_incl_dl_pct
development,c-magnezone_ex_magnezone,Magnezone ex Magnezone,lucario,Mega Lucario ex Lucario,12,12,0,0,24,50.0,20.0,30.0,70.0,4,4,0,0,8,50.0,34.6,24,50.0
development,c-magnezone_ex_magnezone,Magnezone ex Magnezone,altaria,Mega Altaria ex Espeon,11,11,0,1,22,50.0,20.9,29.1,70.9,4,8,0,1,12,33.3,26.7,23,50.0
development,c-magnezone_ex_magnezone,Magnezone ex Magnezone,sceptile,Butterfree Mega Sceptile ex,4,10,0,0,14,28.6,23.7,4.9,52.2,2,4,0,0,6,33.3,37.7,14,28.6
development,c-magnezone_ex_magnezone,Magnezone ex Magnezone,vespiquen,Vespiquen ex Shuckle ex,17,5,0,1,22,77.3,17.5,59.8,94.8,7,1,0,0,8,87.5,22.9,23,76.1
development,c-magnezone_ex_magnezone,Magnezone ex Magnezone,suicune,Suicune ex Baxcalibur,10,9,1,0,20,52.5,21.9,30.6,74.4,3,4,1,0,8,43.8,34.4,20,52.5
development,c-magnezone_ex_magnezone,Magnezone ex Magnezone,hydreigon,Hydreigon Mega Absol ex,3,7,1,0,11,31.8,27.5,4.3,59.3,2,2,1,0,5,50.0,43.8,11,31.8
development,c-magnezone_ex_magnezone,Magnezone ex Magnezone,weezing,Team Rocket's Weezing ex Hoopa ex,6,5,0,0,11,54.5,29.4,25.1,84.0,2,1,0,0,3,66.7,53.3,11,54.5
development,c-magnezone_ex_magnezone,Magnezone ex Magnezone,blaziken,Mega Blaziken ex,5,3,0,1,8,62.5,33.5,29.0,96.0,1,0,0,0,1,100.0,0.0,9,61.1
development,c-magnezone_ex_magnezone,Magnezone ex Magnezone,panel_equal_weight,8 of 8 opponents with n>0,68,62,2,3,132,50.9,8.8,42.1,59.7,25,24,2,1,51,,,135,
development,c-magnezone_ex_magnezone,Magnezone ex Magnezone,panel_pooled,all panel matches pooled (match-weighted),68,62,2,3,132,52.3,8.5,43.8,60.8,25,24,2,1,51,51.0,13.7,135,52.2
pooled,c-magnezone_ex_magnezone,Magnezone ex Magnezone,lucario,Mega Lucario ex Lucario,21,32,1,1,54,39.8,13.1,26.8,52.9,9,13,0,1,22,40.9,20.5,55,40.0
pooled,c-magnezone_ex_magnezone,Magnezone ex Magnezone,altaria,Mega Altaria ex Espeon,27,22,0,3,49,55.1,13.9,41.2,69.0,10,14,0,3,24,41.7,19.7,52,54.8
pooled,c-magnezone_ex_magnezone,Magnezone ex Magnezone,sceptile,Butterfree Mega Sceptile ex,13,21,1,0,35,38.6,16.1,22.4,54.7,10,15,1,0,26,40.4,18.9,35,38.6
pooled,c-magnezone_ex_magnezone,Magnezone ex Magnezone,vespiquen,Vespiquen ex Shuckle ex,27,9,1,3,37,74.3,14.1,60.2,88.4,12,3,1,1,16,78.1,20.3,40,72.5
pooled,c-magnezone_ex_magnezone,Magnezone ex Magnezone,suicune,Suicune ex Baxcalibur,17,14,2,1,33,54.5,17.0,37.6,71.5,6,7,2,0,15,46.7,25.2,34,54.4
pooled,c-magnezone_ex_magnezone,Magnezone ex Magnezone,hydreigon,Hydreigon Mega Absol ex,5,12,2,0,19,31.6,20.9,10.7,52.5,3,4,2,0,9,44.4,32.5,19,31.6
pooled,c-magnezone_ex_magnezone,Magnezone ex Magnezone,weezing,Team Rocket's Weezing ex Hoopa ex,11,9,0,0,20,55.0,21.8,33.2,76.8,6,4,0,0,10,60.0,30.4,20,55.0
pooled,c-magnezone_ex_magnezone,Magnezone ex Magnezone,blaziken,Mega Blaziken ex,10,12,1,1,23,45.7,20.4,25.3,66.0,4,5,0,0,9,44.4,32.5,24,45.8
pooled,c-magnezone_ex_magnezone,Magnezone ex Magnezone,panel_equal_weight,8 of 8 opponents with n>0,131,131,8,9,270,49.3,6.2,43.2,55.5,60,65,6,5,131,,,279,
pooled,c-magnezone_ex_magnezone,Magnezone ex Magnezone,panel_pooled,all panel matches pooled (match-weighted),131,131,8,9,270,50.0,6.0,44.0,56.0,60,65,6,5,131,48.1,8.6,279,50.0
