dataset,archetype,deck_name,opponent,opponent_deck_name,W,L,T,DL,n,score_pct,band95_pts,lo_pct,hi_pct,W_bo1,L_bo1,T_bo1,DL_bo1,n_bo1,score_bo1_pct,band95_bo1_pts
development,mega_altaria_ex_igglybuff,Mega Altaria ex Igglybuff,lucario,Mega Lucario ex Lucario,7,5,0,2,12,58.3,27.9,30.4,86.2,6,5,0,2,11,54.5,29.4
development,mega_altaria_ex_igglybuff,Mega Altaria ex Igglybuff,altaria,Mega Altaria ex Espeon,6,1,0,0,7,85.7,25.9,59.8,100.0,4,1,0,0,5,80.0,35.1
development,mega_altaria_ex_igglybuff,Mega Altaria ex Igglybuff,sceptile,Butterfree Mega Sceptile ex,2,6,0,0,8,25.0,30.0,0.0,55.0,1,4,0,0,5,20.0,35.1
development,mega_altaria_ex_igglybuff,Mega Altaria ex Igglybuff,vespiquen,Vespiquen ex Shuckle ex,3,1,0,0,4,75.0,42.4,32.6,100.0,1,0,0,0,1,100.0,0.0
development,mega_altaria_ex_igglybuff,Mega Altaria ex Igglybuff,suicune,Suicune ex Baxcalibur,0,1,0,0,1,0.0,0.0,0.0,0.0,0,1,0,0,1,0.0,0.0
development,mega_altaria_ex_igglybuff,Mega Altaria ex Igglybuff,hydreigon,Hydreigon Mega Absol ex,0,1,0,0,1,0.0,0.0,0.0,0.0,0,1,0,0,1,0.0,0.0
development,mega_altaria_ex_igglybuff,Mega Altaria ex Igglybuff,weezing,Team Rocket's Weezing ex Hoopa ex,2,2,0,1,4,50.0,49.0,1.0,99.0,2,1,0,1,3,66.7,53.3
development,mega_altaria_ex_igglybuff,Mega Altaria ex Igglybuff,blaziken,Mega Blaziken ex,4,2,0,0,6,66.7,37.7,28.9,100.0,3,2,0,0,5,60.0,42.9
development,mega_altaria_ex_igglybuff,Mega Altaria ex Igglybuff,panel_equal_weight,8 of 8 opponents with n>0,24,19,0,3,43,45.1,11.2,33.9,56.3,17,15,0,3,32,,
development,mega_altaria_ex_igglybuff,Mega Altaria ex Igglybuff,panel_pooled,all panel matches pooled (match-weighted),24,19,0,3,43,55.8,14.8,41.0,70.7,17,15,0,3,32,53.1,17.3
pooled,mega_altaria_ex_igglybuff,Mega Altaria ex Igglybuff,lucario,Mega Lucario ex Lucario,16,11,1,3,28,58.9,18.2,40.7,77.2,13,8,1,3,22,61.4,20.3
pooled,mega_altaria_ex_igglybuff,Mega Altaria ex Igglybuff,altaria,Mega Altaria ex Espeon,11,8,0,0,19,57.9,22.2,35.7,80.1,6,5,0,0,11,54.5,29.4
pooled,mega_altaria_ex_igglybuff,Mega Altaria ex Igglybuff,sceptile,Butterfree Mega Sceptile ex,2,7,2,0,11,27.3,26.3,1.0,53.6,1,4,2,0,7,28.6,33.5
pooled,mega_altaria_ex_igglybuff,Mega Altaria ex Igglybuff,vespiquen,Vespiquen ex Shuckle ex,6,6,0,1,12,50.0,28.3,21.7,78.3,3,2,0,1,5,60.0,42.9
pooled,mega_altaria_ex_igglybuff,Mega Altaria ex Igglybuff,suicune,Suicune ex Baxcalibur,2,3,0,0,5,40.0,42.9,0.0,82.9,1,1,0,0,2,50.0,69.3
pooled,mega_altaria_ex_igglybuff,Mega Altaria ex Igglybuff,hydreigon,Hydreigon Mega Absol ex,3,2,0,0,5,60.0,42.9,17.1,100.0,2,1,0,0,3,66.7,53.3
pooled,mega_altaria_ex_igglybuff,Mega Altaria ex Igglybuff,weezing,Team Rocket's Weezing ex Hoopa ex,3,2,1,1,6,58.3,39.4,18.9,97.8,2,1,1,1,4,62.5,47.4
pooled,mega_altaria_ex_igglybuff,Mega Altaria ex Igglybuff,blaziken,Mega Blaziken ex,5,3,0,0,8,62.5,33.5,29.0,96.0,3,3,0,0,6,50.0,40.0
pooled,mega_altaria_ex_igglybuff,Mega Altaria ex Igglybuff,panel_equal_weight,8 of 8 opponents with n>0,48,42,4,5,94,51.9,11.7,40.2,63.5,31,25,4,5,60,,
pooled,mega_altaria_ex_igglybuff,Mega Altaria ex Igglybuff,panel_pooled,all panel matches pooled (match-weighted),48,42,4,5,94,53.2,10.1,43.1,63.3,31,25,4,5,60,55.0,12.6
