dataset,archetype,deck_name,opponent,opponent_deck_name,W,L,T,DL,n,score_pct,band95_pts,lo_pct,hi_pct,W_bo1,L_bo1,T_bo1,DL_bo1,n_bo1,score_bo1_pct,band95_bo1_pts
development,mega_lucario_ex_lucario,Mega Lucario ex Lucario,lucario,Mega Lucario ex Lucario,0,0,0,0,0,,,,,0,0,0,0,0,,
development,mega_lucario_ex_lucario,Mega Lucario ex Lucario,altaria,Mega Altaria ex Espeon,43,114,5,11,162,28.1,6.9,21.2,35.0,30,70,5,8,105,31.0,8.8
development,mega_lucario_ex_lucario,Mega Lucario ex Lucario,sceptile,Butterfree Mega Sceptile ex,44,68,2,2,114,39.5,9.0,30.5,48.4,33,44,2,1,79,43.0,10.9
development,mega_lucario_ex_lucario,Mega Lucario ex Lucario,vespiquen,Vespiquen ex Shuckle ex,73,31,3,6,107,69.6,8.7,60.9,78.3,38,20,2,1,60,65.0,12.1
development,mega_lucario_ex_lucario,Mega Lucario ex Lucario,suicune,Suicune ex Baxcalibur,50,34,2,6,86,59.3,10.4,48.9,69.7,33,22,2,5,57,59.6,12.7
development,mega_lucario_ex_lucario,Mega Lucario ex Lucario,hydreigon,Hydreigon Mega Absol ex,19,34,2,2,55,36.4,12.7,23.7,49.1,16,24,2,2,42,40.5,14.8
development,mega_lucario_ex_lucario,Mega Lucario ex Lucario,weezing,Team Rocket's Weezing ex Hoopa ex,46,28,4,3,78,61.5,10.8,50.7,72.3,32,14,3,1,49,68.4,13.0
development,mega_lucario_ex_lucario,Mega Lucario ex Lucario,blaziken,Mega Blaziken ex,35,24,0,3,59,59.3,12.5,46.8,71.9,26,19,0,3,45,57.8,14.4
development,mega_lucario_ex_lucario,Mega Lucario ex Lucario,panel_equal_weight,7 of 8 opponents with n>0,310,333,18,33,661,50.5,3.9,46.6,54.4,208,213,16,21,437,,
development,mega_lucario_ex_lucario,Mega Lucario ex Lucario,panel_pooled,all panel matches pooled (match-weighted),310,333,18,33,661,48.3,3.8,44.5,52.1,208,213,16,21,437,49.4,4.7
pooled,mega_lucario_ex_lucario,Mega Lucario ex Lucario,lucario,Mega Lucario ex Lucario,0,0,0,0,0,,,,,0,0,0,0,0,,
pooled,mega_lucario_ex_lucario,Mega Lucario ex Lucario,altaria,Mega Altaria ex Espeon,90,234,11,20,335,28.5,4.8,23.7,33.3,50,127,9,12,186,29.3,6.5
pooled,mega_lucario_ex_lucario,Mega Lucario ex Lucario,sceptile,Butterfree Mega Sceptile ex,86,146,5,8,237,37.3,6.2,31.2,43.5,59,101,5,4,165,37.3,7.4
pooled,mega_lucario_ex_lucario,Mega Lucario ex Lucario,vespiquen,Vespiquen ex Shuckle ex,141,58,7,9,206,70.1,6.2,63.9,76.4,74,35,6,3,115,67.0,8.6
pooled,mega_lucario_ex_lucario,Mega Lucario ex Lucario,suicune,Suicune ex Baxcalibur,101,74,3,6,178,57.6,7.3,50.3,64.8,59,46,2,5,107,56.1,9.4
pooled,mega_lucario_ex_lucario,Mega Lucario ex Lucario,hydreigon,Hydreigon Mega Absol ex,69,83,6,7,158,45.6,7.8,37.8,53.3,43,54,5,6,102,44.6,9.6
pooled,mega_lucario_ex_lucario,Mega Lucario ex Lucario,weezing,Team Rocket's Weezing ex Hoopa ex,74,56,6,3,136,56.6,8.3,48.3,64.9,48,30,5,1,83,60.8,10.5
pooled,mega_lucario_ex_lucario,Mega Lucario ex Lucario,blaziken,Mega Blaziken ex,78,63,3,3,144,55.2,8.1,47.1,63.3,50,44,2,3,96,53.1,10.0
pooled,mega_lucario_ex_lucario,Mega Lucario ex Lucario,panel_equal_weight,7 of 8 opponents with n>0,639,714,41,56,1394,50.1,2.7,47.5,52.8,383,437,34,34,854,,
pooled,mega_lucario_ex_lucario,Mega Lucario ex Lucario,panel_pooled,all panel matches pooled (match-weighted),639,714,41,56,1394,47.3,2.6,44.7,49.9,383,437,34,34,854,46.8,3.3
