archetype,in_sept10_top30,rank_sept10,sept10_players,rank_window,window_dev_matches,dustin,dustin_level,dustin_reason,n_entries,n_lists_with_decklist,n_events_with_decklist,card,card_ids,card_kind,switch1_relevant,n_lists_carrying,n_copies_total,n_lists_same_name_other_printing,same_name_other_printing_ids
Mega Lucario ex Lucario,True,1,485,1,2044,False,none,"no Pokemon in the archetype name (Mega Lucario ex, Lucario) appears in any decks/dustin or decks/brews file or B2e archetype",398,398,58,Jasmine,A4 160 / A4 200,trainer_turn_effect,True,0,0,0,
Mega Lucario ex Lucario,True,1,485,1,2044,False,none,"no Pokemon in the archetype name (Mega Lucario ex, Lucario) appears in any decks/dustin or decks/brews file or B2e archetype",398,398,58,Cheren,B3 151 / B3 192,trainer_turn_effect,True,0,0,0,
Mega Lucario ex Lucario,True,1,485,1,2044,False,none,"no Pokemon in the archetype name (Mega Lucario ex, Lucario) appears in any decks/dustin or decks/brews file or B2e archetype",398,398,58,Blue,A1a 067 / A1a 081,trainer_turn_effect,True,0,0,0,
Mega Lucario ex Lucario,True,1,485,1,2044,False,none,"no Pokemon in the archetype name (Mega Lucario ex, Lucario) appears in any decks/dustin or decks/brews file or B2e archetype",398,398,58,Beast Wall,A3a 063,trainer_turn_effect,True,0,0,0,
Mega Lucario ex Lucario,True,1,485,1,2044,False,none,"no Pokemon in the archetype name (Mega Lucario ex, Lucario) appears in any decks/dustin or decks/brews file or B2e archetype",398,398,58,Adaman,A2a 075 / A2a 090,trainer_turn_effect,True,0,0,0,
Mega Lucario ex Lucario,True,1,485,1,2044,False,none,"no Pokemon in the archetype name (Mega Lucario ex, Lucario) appears in any decks/dustin or decks/brews file or B2e archetype",398,398,58,Heavy Helmet,B1 219,tool_reduction,True,0,0,0,
Mega Lucario ex Lucario,True,1,485,1,2044,False,none,"no Pokemon in the archetype name (Mega Lucario ex, Lucario) appears in any decks/dustin or decks/brews file or B2e archetype",398,398,58,Steel Apron,A4 153,tool_reduction,True,0,0,0,
Mega Lucario ex Lucario,True,1,485,1,2044,False,none,"no Pokemon in the archetype name (Mega Lucario ex, Lucario) appears in any decks/dustin or decks/brews file or B2e archetype",398,398,58,Metal Core Barrier,B2 148 / B2b 117,tool_reduction,True,0,0,0,
Mega Lucario ex Lucario,True,1,485,1,2044,False,none,"no Pokemon in the archetype name (Mega Lucario ex, Lucario) appears in any decks/dustin or decks/brews file or B2e archetype",398,398,58,Mr. Mime,A1 126,attack_self_reduction,True,0,0,0,
Mega Lucario ex Lucario,True,1,485,1,2044,False,none,"no Pokemon in the archetype name (Mega Lucario ex, Lucario) appears in any decks/dustin or decks/brews file or B2e archetype",398,398,58,Drifloon,A2 073 / A2 165,attack_self_reduction,True,0,0,0,
Mega Lucario ex Lucario,True,1,485,1,2044,False,none,"no Pokemon in the archetype name (Mega Lucario ex, Lucario) appears in any decks/dustin or decks/brews file or B2e archetype",398,398,58,Bronzong,A2 117,attack_self_reduction,True,0,0,0,
Mega Lucario ex Lucario,True,1,485,1,2044,False,none,"no Pokemon in the archetype name (Mega Lucario ex, Lucario) appears in any decks/dustin or decks/brews file or B2e archetype",398,398,58,Probopass ex,A2a 057 / A2a 085 / A2a 094 / A4b 253,attack_self_reduction,True,0,0,0,
Mega Lucario ex Lucario,True,1,485,1,2044,False,none,"no Pokemon in the archetype name (Mega Lucario ex, Lucario) appears in any decks/dustin or decks/brews file or B2e archetype",398,398,58,Cloyster,A3 043 / B1a 093,attack_self_reduction,True,0,0,0,
Mega Lucario ex Lucario,True,1,485,1,2044,False,none,"no Pokemon in the archetype name (Mega Lucario ex, Lucario) appears in any decks/dustin or decks/brews file or B2e archetype",398,398,58,Stakataka,A3a 053 / P-A 080,attack_self_reduction,True,0,0,0,
Mega Lucario ex Lucario,True,1,485,1,2044,False,none,"no Pokemon in the archetype name (Mega Lucario ex, Lucario) appears in any decks/dustin or decks/brews file or B2e archetype",398,398,58,Skarmory ex,A4 124 / A4 194 / A4 209 / A4b 252,attack_self_reduction,True,0,0,0,
Mega Lucario ex Lucario,True,1,485,1,2044,False,none,"no Pokemon in the archetype name (Mega Lucario ex, Lucario) appears in any decks/dustin or decks/brews file or B2e archetype",398,398,58,Avalugg,B1 075,attack_self_reduction,True,0,0,0,
Mega Lucario ex Lucario,True,1,485,1,2044,False,none,"no Pokemon in the archetype name (Mega Lucario ex, Lucario) appears in any decks/dustin or decks/brews file or B2e archetype",398,398,58,Swirlix,B1 117,attack_self_reduction,True,0,0,0,
Mega Lucario ex Lucario,True,1,485,1,2044,False,none,"no Pokemon in the archetype name (Mega Lucario ex, Lucario) appears in any decks/dustin or decks/brews file or B2e archetype",398,398,58,Ferrothorn (A3a 052 Steel Spikes),A3a 052,other,False,0,0,0,
Mega Lucario ex Lucario,True,1,485,1,2044,False,none,"no Pokemon in the archetype name (Mega Lucario ex, Lucario) appears in any decks/dustin or decks/brews file or B2e archetype",398,398,58,Ferrothorn (B1 167 Guard Press),B1 167,attack_self_reduction,True,0,0,0,
