archetype,rank_sept10,rank_window,dustin,player,display_name,event_id,event_name,event_size,date,placing,drop,record,deck_id,cards_carried,url
Mega Lucario ex Lucario,1,1,False,pikamon,Pikamon,6aa22425a4272c53be64ca36,The Breakfast Club Daily #5-$5 + FA,112,2026-09-10,1,,10-2-0,mega-lucario-ex-b3-lucario-a2,Protective Poncho x1,https://play.limitlesstcg.com/tournament/6aa22425a4272c53be64ca36/player/pikamon/decklist
Mega Lucario ex Lucario,1,1,False,frozen,𝐄𝐥𝐢𝐭𝐞𝟒 Frozen,6a96b86babb948223750549c,Dark League Pop Up,46,2026-09-01,1,,8-2-1,mega-lucario-ex-b3-lucario-a2,Protective Poncho x1,https://play.limitlesstcg.com/tournament/6a96b86babb948223750549c/player/frozen/decklist
Mega Lucario ex Lucario,1,1,False,drakioxp,Drakioxp,6a9c4f47a4272c53be647ff7,notChaser CUP#2 Equipe Rocket!,8,2026-09-05,1,,6-2-0,mega-lucario-ex-b3-lucario-a2,Protective Poncho x1,https://play.limitlesstcg.com/tournament/6a9c4f47a4272c53be647ff7/player/drakioxp/decklist
Mega Lucario ex Lucario,1,1,False,aldous,Aldous,6a96069dabb9482237504f7f,Plasma Daily #22| Team Rocket's Ambitions| FA Card,113,2026-09-01,2,,8-2-1,mega-lucario-ex-b3-lucario-a2,Protective Poncho x1,https://play.limitlesstcg.com/tournament/6a96069dabb9482237504f7f/player/aldous/decklist
Mega Lucario ex Lucario,1,1,False,lazimus,Lazimus,6a947113629039f77d8a5c46,Dark League Pop Up,57,2026-08-30,2,,10-1-0,mega-lucario-ex-b3-lucario-a2,Protective Poncho x1,https://play.limitlesstcg.com/tournament/6a947113629039f77d8a5c46/player/lazimus/decklist
Mega Lucario ex Lucario,1,1,False,thomasxavier21,ThomasXavier21,6a98b6dfab080c8c957f8554,Block Dragon Pop Up (RR Vespiquen),48,2026-09-03,2,,9-1-0,mega-lucario-ex-b3-lucario-a2,Protective Poncho x1,https://play.limitlesstcg.com/tournament/6a98b6dfab080c8c957f8554/player/thomasxavier21/decklist
Mega Lucario ex Lucario,1,1,False,dietdrkelp,𝗠𝗢𝗡⭐| Suede,6aa6942138886b36383be9a3,DR KELP’S CHUM BUCKET POP UP - FA COPYCAT,38,2026-09-13,2,,7-2-0,mega-lucario-ex-b3-lucario-a2,Protective Poncho x1,https://play.limitlesstcg.com/tournament/6aa6942138886b36383be9a3/player/dietdrkelp/decklist
Mega Lucario ex Lucario,1,1,False,jachuuuu,jachuuuu,6a9836ffa4272c53be644df4,Trinity Tournament 2,23,2026-09-05,2,,4-1-0,mega-lucario-ex-b3-lucario-a2,Protective Poncho x1,https://play.limitlesstcg.com/tournament/6a9836ffa4272c53be644df4/player/jachuuuu/decklist
Mega Lucario ex Lucario,1,1,False,sinorci200,𝗙𝗚𝗥 || Sinorci200,6a9fe0c7ab080c8c957fdde4,Meteor Cup #3 | Autumn Season 26,6,2026-09-11,2,,2-2-0,mega-lucario-ex-b3-lucario-a2,Protective Poncho x1,https://play.limitlesstcg.com/tournament/6a9fe0c7ab080c8c957fdde4/player/sinorci200/decklist
Mega Lucario ex Lucario,1,1,False,esteban0708,Esteban0708,6a8c5eb881741245b151d7e3,PMPT #44 - TEAM ROCKETS AMBITION!!! | $100 USD,378,2026-08-29,3,,11-2-0,mega-lucario-ex-b3-lucario-a2,Protective Poncho x1,https://play.limitlesstcg.com/tournament/6a8c5eb881741245b151d7e3/player/esteban0708/decklist
Mega Lucario ex Lucario,1,1,False,dietdrkelp,𝗠𝗢𝗡⭐| Suede,6a99bbffa4272c53be645f44,Block Dragon Pop Up (RR Team Rockets Raticate),60,2026-09-03,3,,6-3-0,mega-lucario-ex-b3-lucario-a2,Protective Poncho x1,https://play.limitlesstcg.com/tournament/6a99bbffa4272c53be645f44/player/dietdrkelp/decklist
Mega Lucario ex Lucario,1,1,False,monkeydonkey,MonkeyDonkey,6aa7cd2ff1243e65f9800e0f,TBC KELP CLASSIC 10th ANNIVERSARY- $10 + FA CYRUS,78,2026-09-15,4,,8-2-1,mega-lucario-ex-b3-lucario-a2,Protective Poncho x1,https://play.limitlesstcg.com/tournament/6aa7cd2ff1243e65f9800e0f/player/monkeydonkey/decklist
Mega Lucario ex Lucario,1,1,False,sparadrap,Sparadrap,6a8f27e57a62de813013fb20,The Breakfast Club Pop Up-$5+FA,69,2026-08-26,4,,6-3-0,mega-lucario-ex-b3-lucario-a2,Protective Poncho x1,https://play.limitlesstcg.com/tournament/6a8f27e57a62de813013fb20/player/sparadrap/decklist
Mega Lucario ex Lucario,1,1,False,dietdrkelp,𝗠𝗢𝗡⭐| Suede,6a9d55b3ab080c8c957fbaa6,OTS Pokemon TCG Pocket Arena Pop Up | $5 USD,65,2026-09-06,5,,5-1-2,mega-lucario-ex-b3-lucario-a2,Protective Poncho x1,https://play.limitlesstcg.com/tournament/6a9d55b3ab080c8c957fbaa6/player/dietdrkelp/decklist
Mega Lucario ex Lucario,1,1,False,sachatouille,Sachatouille,6aabc067f1243e65f98035ec,The TCGP Arena #6! Prizing: 🌟🌟 Cards,53,2026-09-21,5,,6-2-0,mega-lucario-ex-b3-lucario-a2,Protective Poncho x1,https://play.limitlesstcg.com/tournament/6aabc067f1243e65f98035ec/player/sachatouille/decklist
Mega Lucario ex Lucario,1,1,False,dietdrkelp,𝗠𝗢𝗡⭐| Suede,6aa13feaa4272c53be64b94a,DR KELP’S CHUM BUCKET POP UP,49,2026-09-09,5,,5-1-1,mega-lucario-ex-b3-lucario-a2,Protective Poncho x1,https://play.limitlesstcg.com/tournament/6aa13feaa4272c53be64b94a/player/dietdrkelp/decklist
Mega Lucario ex Lucario,1,1,False,mamish,Mamish,6a9836ffa4272c53be644df4,Trinity Tournament 2,23,2026-09-05,5,,2-1-0,mega-lucario-ex-b3-lucario-a2,Protective Poncho x1,https://play.limitlesstcg.com/tournament/6a9836ffa4272c53be644df4/player/mamish/decklist
Mega Lucario ex Lucario,1,1,False,manux,Manux,6a8c5eb881741245b151d7e3,PMPT #44 - TEAM ROCKETS AMBITION!!! | $100 USD,378,2026-08-29,6,,9-3-0,mega-lucario-ex-b3-lucario-a2,Rocky Helmet x1,https://play.limitlesstcg.com/tournament/6a8c5eb881741245b151d7e3/player/manux/decklist
Mega Lucario ex Lucario,1,1,False,khaiky,Khaiky Rodrigues,6a88ce398302ae761e5f8954,🇧🇷 Hit Pocket #3 | TCG Pocket,24,2026-08-29,6,,4-2-0,mega-lucario-ex-b3-lucario-a2,Protective Poncho x1,https://play.limitlesstcg.com/tournament/6a88ce398302ae761e5f8954/player/khaiky/decklist
Mega Lucario ex Lucario,1,1,False,abnermoyai,𝗜𝗠𝗢 | Theodoro Melo,6a9ed1b3ab080c8c957fcda5,🇧🇷 Hit Sparrow #11 | TCG Pocket,22,2026-09-09,6,,3-3-0,mega-lucario-ex-b3-lucario-a2,Protective Poncho x1,https://play.limitlesstcg.com/tournament/6a9ed1b3ab080c8c957fcda5/player/abnermoyai/decklist
Mega Lucario ex Lucario,1,1,False,semitse,Semitse,6a827b0778baaa6d1c221f3f,Meteor Cup #1 | Autumn Season 26,8,2026-08-28,7,,0-3-1,mega-lucario-ex-b3-lucario-a2,Protective Poncho x1,https://play.limitlesstcg.com/tournament/6a827b0778baaa6d1c221f3f/player/semitse/decklist
Mega Lucario ex Lucario,1,1,False,atemus95gr,Atemus95Gr,6a901ac60580a332c8420eaa,‼️$20 BEC'S 📛NEW SET PARTY - FA PRIZES🔻,133,2026-08-28,8,,7-3-0,mega-lucario-ex-b3-lucario-a2,Protective Poncho x1; Rocky Helmet x1,https://play.limitlesstcg.com/tournament/6a901ac60580a332c8420eaa/player/atemus95gr/decklist
Mega Lucario ex Lucario,1,1,False,guunnz,𝗠𝗢𝗡⭐️ | guunnz,6aa2a732a4272c53be64cdf1,DR KELP’S CHUM BUCKET POP UP,37,2026-09-10,8,,4-3-0,mega-lucario-ex-b3-lucario-a2,Protective Poncho x1,https://play.limitlesstcg.com/tournament/6aa2a732a4272c53be64cdf1/player/guunnz/decklist
