bot k3, 1000 table deals per pairing, rules checked against RULES_FOR_AGENTS.md (updated 2026-09-22, rules4)
  altaria v blaziken  first deck  58.3%   distinct games 1000 of 1000   games with findings: 0
  altaria v hydreigon first deck  57.0%   distinct games 1000 of 1000   games with findings: 0
  altaria v lucario   first deck  56.0%   distinct games 998 of 1000   games with findings: 0
  altaria v sceptile  first deck  38.3%   distinct games 996 of 1000   games with findings: 0
  altaria v suicune   first deck  39.0%   distinct games 1000 of 1000   games with findings: 0
  altaria v vespiquen first deck  43.1%   distinct games 1000 of 1000   games with findings: 0
  altaria v weezing   first deck  37.5%   distinct games 1000 of 1000   games with findings: 0
 blaziken v hydreigon first deck  65.5%   distinct games 1000 of 1000   games with findings: 0
 blaziken v lucario   first deck  46.9%   distinct games 1000 of 1000   games with findings: 0
 blaziken v sceptile  first deck  60.5%   distinct games 983 of 1000   games with findings: 0
 blaziken v suicune   first deck  54.3%   distinct games 1000 of 1000   games with findings: 0
 blaziken v vespiquen first deck  77.5%   distinct games 1000 of 1000   games with findings: 0
 blaziken v weezing   first deck  50.2%   distinct games 1000 of 1000   games with findings: 0
hydreigon v lucario   first deck  30.2%   distinct games 1000 of 1000   games with findings: 0
hydreigon v sceptile  first deck  29.2%   distinct games 999 of 1000   games with findings: 0
hydreigon v suicune   first deck  37.9%   distinct games 1000 of 1000   games with findings: 0
hydreigon v vespiquen first deck  29.9%   distinct games 1000 of 1000   games with findings: 0
hydreigon v weezing   first deck  38.5%   distinct games 1000 of 1000   games with findings: 0
  lucario v sceptile  first deck  35.7%   distinct games 983 of 1000   games with findings: 0
  lucario v suicune   first deck  52.4%   distinct games 1000 of 1000   games with findings: 0
  lucario v vespiquen first deck  65.7%   distinct games 1000 of 1000   games with findings: 0
  lucario v weezing   first deck  52.1%   distinct games 1000 of 1000   games with findings: 0
 sceptile v suicune   first deck  57.0%   distinct games 1000 of 1000   games with findings: 0
 sceptile v vespiquen first deck  66.1%   distinct games 1000 of 1000   games with findings: 0
 sceptile v weezing   first deck  73.2%   distinct games 1000 of 1000   games with findings: 0
  suicune v vespiquen first deck  46.0%   distinct games 1000 of 1000   games with findings: 0
  suicune v weezing   first deck  62.7%   distinct games 1000 of 1000   games with findings: 0
vespiquen v weezing   first deck  68.8%   distinct games 1000 of 1000   games with findings: 0

Findings (occurrences / games affected):
  none
