scope,event_id,player,other_events_W,other_events_N,skill
development only,6a789b5ccdc0391d7fa61ba9,2sick,47,99,-0.09180754925312286
development only,6a789b5ccdc0391d7fa61ba9,acad,55,149,-0.5007752879124893
development only,6a789b5ccdc0391d7fa61ba9,adi1906,36,68,0.10265415406008337
development only,6a789b5ccdc0391d7fa61ba9,ahnkns14,3,6,0.0
development only,6a789b5ccdc0391d7fa61ba9,aidentony,19,42,-0.15415067982725836
development only,6a789b5ccdc0391d7fa61ba9,aldous,52,116,-0.19105523676270922
development only,6a789b5ccdc0391d7fa61ba9,ani_p,0,0,0.0
development only,6a789b5ccdc0391d7fa61ba9,antony,9,23,-0.3053816495511819
development only,6a789b5ccdc0391d7fa61ba9,arcticmonkeys,4,7,0.11778303565638346
development only,6a789b5ccdc0391d7fa61ba9,atomiix,37,51,0.7932306391169279
development only,6a789b5ccdc0391d7fa61ba9,balancedeala,32,67,-0.0779615414697118
development only,6a789b5ccdc0391d7fa61ba9,bigbagmakaveli,8,35,-0.9007865453381898
development only,6a789b5ccdc0391d7fa61ba9,bluejun99,9,22,-0.25131442828090605
development only,6a789b5ccdc0391d7fa61ba9,cheeselixir,0,0,0.0
development only,6a789b5ccdc0391d7fa61ba9,chiaryarra,0,0,0.0
development only,6a789b5ccdc0391d7fa61ba9,christia1993n,11,28,-0.3184537311185346
development only,6a789b5ccdc0391d7fa61ba9,corcho5,12,24,0.0
development only,6a789b5ccdc0391d7fa61ba9,cosmooo,54,93,0.29334780998745824
development only,6a789b5ccdc0391d7fa61ba9,crusher179450,1,6,-0.5108256237659907
development only,6a789b5ccdc0391d7fa61ba9,darmigoro,2,6,-0.25131442828090605
development only,6a789b5ccdc0391d7fa61ba9,dashmd,25,72,-0.5500463369192721
development only,6a789b5ccdc0391d7fa61ba9,den670,19,34,0.1823215567939546
development only,6a789b5ccdc0391d7fa61ba9,dhforty4,34,75,-0.16507975035944858
development only,6a789b5ccdc0391d7fa61ba9,disposablehero,11,22,0.0
development only,6a789b5ccdc0391d7fa61ba9,dyja1,11,35,-0.5947071077466928
development only,6a789b5ccdc0391d7fa61ba9,einstun,70,157,-0.20430046351272993
development only,6a789b5ccdc0391d7fa61ba9,elatomico,45,101,-0.19885085874516517
development only,6a789b5ccdc0391d7fa61ba9,elmarcoo,64,134,-0.08338160893905101
development only,6a789b5ccdc0391d7fa61ba9,esteban0708,52,90,0.28185115214098766
development only,6a789b5ccdc0391d7fa61ba9,ev_arima,0,0,0.0
development only,6a789b5ccdc0391d7fa61ba9,fabiowastaken,8,18,-0.1431008436406733
development only,6a789b5ccdc0391d7fa61ba9,faded7,2,3,0.15415067982725836
development only,6a789b5ccdc0391d7fa61ba9,fan_sylve,11,32,-0.48550781578170077
development only,6a789b5ccdc0391d7fa61ba9,fitypaldis,16,31,0.04879016416943205
development only,6a789b5ccdc0391d7fa61ba9,frappesdrinker,54,98,0.18571714579509285
development only,6a789b5ccdc0391d7fa61ba9,fury64140,10,28,-0.4274440148269396
development only,6a789b5ccdc0391d7fa61ba9,gariva,0,0,0.0
development only,6a789b5ccdc0391d7fa61ba9,garoth,19,35,0.13353139262452257
development only,6a789b5ccdc0391d7fa61ba9,grotolo,6,12,0.0
development only,6a789b5ccdc0391d7fa61ba9,guunnz,73,128,0.26236426446749106
development only,6a789b5ccdc0391d7fa61ba9,hakitcgp,45,86,0.083381608939051
development only,6a789b5ccdc0391d7fa61ba9,hansuwe,20,34,0.27443684570176036
development only,6a789b5ccdc0391d7fa61ba9,harian,25,42,0.31015492830383945
development only,6a789b5ccdc0391d7fa61ba9,hectordf,25,48,0.06899287148695142
development only,6a789b5ccdc0391d7fa61ba9,iamclrfilms,0,0,0.0
development only,6a789b5ccdc0391d7fa61ba9,ibfasting,77,144,0.13005312824819776
development only,6a789b5ccdc0391d7fa61ba9,ibi0307ibi,3,25,-1.2163953243244932
development only,6a789b5ccdc0391d7fa61ba9,iplaypokemans,12,26,-0.11122563511022437
development only,6a789b5ccdc0391d7fa61ba9,javiee333,55,104,0.10536051565782635
development only,6a789b5ccdc0391d7fa61ba9,javiercazorla,20,52,-0.39204208777602373
development only,6a789b5ccdc0391d7fa61ba9,johtopack,15,30,0.0
development only,6a789b5ccdc0391d7fa61ba9,jphenomenal,30,50,0.3364722366212129
development only,6a789b5ccdc0391d7fa61ba9,justclark,2,4,0.0
development only,6a789b5ccdc0391d7fa61ba9,kaizenmoon,0,2,-0.3364722366212129
