scope,half,a,b,W,L,T,n,score_pct
development only,early,altaria,blaziken,14,2,1,17,85.29411764705883
development only,early,altaria,hydreigon,10,6,2,18,61.111111111111114
development only,early,altaria,lucario,48,15,5,68,74.26470588235294
development only,early,altaria,sceptile,10,17,1,28,37.5
development only,early,altaria,suicune,20,9,0,29,68.96551724137932
development only,early,altaria,vespiquen,12,18,1,31,40.32258064516129
development only,early,altaria,weezing,5,20,2,27,22.22222222222222
development only,early,blaziken,hydreigon,10,1,2,13,84.61538461538461
development only,early,blaziken,lucario,13,23,0,36,36.111111111111114
development only,early,blaziken,sceptile,12,2,1,15,83.33333333333333
development only,early,blaziken,suicune,7,6,1,14,53.57142857142857
development only,early,blaziken,vespiquen,18,3,1,22,84.0909090909091
development only,early,blaziken,weezing,5,7,2,14,42.857142857142854
development only,early,hydreigon,lucario,14,13,2,29,51.724137931034484
development only,early,hydreigon,sceptile,8,7,3,18,52.77777777777778
development only,early,hydreigon,suicune,9,18,1,28,33.92857142857143
development only,early,hydreigon,vespiquen,7,15,1,23,32.608695652173914
development only,early,hydreigon,weezing,9,8,0,17,52.94117647058823
development only,early,lucario,sceptile,25,34,2,61,42.622950819672134
development only,early,lucario,suicune,35,22,1,58,61.206896551724135
development only,early,lucario,vespiquen,46,20,1,67,69.40298507462687
development only,early,lucario,weezing,32,22,4,58,58.62068965517241
development only,early,sceptile,suicune,12,12,1,25,50.0
development only,early,sceptile,vespiquen,13,16,1,30,45.0
development only,early,sceptile,weezing,17,5,1,23,76.08695652173913
development only,early,suicune,vespiquen,10,39,0,49,20.408163265306122
development only,early,suicune,weezing,17,10,1,28,62.5
development only,early,vespiquen,weezing,26,6,2,34,79.41176470588235
development only,late,altaria,blaziken,11,5,1,17,67.6470588235294
development only,late,altaria,hydreigon,19,18,1,38,51.31578947368421
development only,late,altaria,lucario,66,27,0,93,70.96774193548387
development only,late,altaria,sceptile,35,38,7,80,48.125
development only,late,altaria,suicune,15,18,3,36,45.833333333333336
development only,late,altaria,vespiquen,20,37,5,62,36.29032258064516
development only,late,altaria,weezing,9,10,1,20,47.5
development only,late,blaziken,hydreigon,5,6,0,11,45.45454545454545
development only,late,blaziken,lucario,11,12,0,23,47.82608695652174
development only,late,blaziken,sceptile,5,3,0,8,62.5
development only,late,blaziken,suicune,6,1,0,7,85.71428571428571
development only,late,blaziken,vespiquen,6,3,0,9,66.66666666666667
development only,late,blaziken,weezing,1,2,0,3,33.333333333333336
development only,late,hydreigon,lucario,20,6,0,26,76.92307692307692
development only,late,hydreigon,sceptile,4,12,1,17,26.470588235294116
development only,late,hydreigon,suicune,1,6,0,7,14.285714285714286
development only,late,hydreigon,vespiquen,6,8,1,15,43.333333333333336
development only,late,hydreigon,weezing,2,5,0,7,28.571428571428573
development only,late,lucario,sceptile,19,34,0,53,35.84905660377358
development only,late,lucario,suicune,14,12,1,27,53.7037037037037
development only,late,lucario,vespiquen,27,11,2,40,70.0
development only,late,lucario,weezing,14,6,0,20,70.0
development only,late,sceptile,suicune,13,13,1,27,50.0
development only,late,sceptile,vespiquen,6,19,1,26,25.0
development only,late,sceptile,weezing,7,6,0,13,53.84615384615385
development only,late,suicune,vespiquen,10,12,1,23,45.65217391304348
development only,late,suicune,weezing,6,5,0,11,54.54545454545455
development only,late,vespiquen,weezing,9,0,0,9,100.0
