scope,half,deck,average_7_pct,covered_opponents,n
development only,early,altaria,55.66860782132653,7,218
development only,early,blaziken,57.04074170460725,7,131
development only,early,hydreigon,39.75055193337859,7,146
development only,early,lucario,52.82193816809957,7,377
development only,early,sceptile,50.69327065585084,7,200
development only,early,suicune,45.03367849602895,7,231
development only,early,vespiquen,55.36834728252929,7,256
development only,early,weezing,43.62286393817897,7,201
development only,late,altaria,52.52560659238229,7,346
development only,late,blaziken,53.40683704311765,7,78
development only,late,hydreigon,41.830543774373936,7,121
development only,late,lucario,47.69083635605639,7,282
development only,late,sceptile,50.84307271529802,7,224
development only,late,suicune,50.09437020306586,7,138
development only,late,vespiquen,59.00821478661591,7,184
development only,late,weezing,44.60051852908996,7,83
