scope,archetype,opponent,W,L,T,n
development only,manectric_heliolisk,altaria,26,22,3,51
development only,manectric_heliolisk,blaziken,10,3,2,15
development only,manectric_heliolisk,hydreigon,8,12,0,20
development only,manectric_heliolisk,lucario,14,21,1,36
development only,manectric_heliolisk,sceptile,13,22,2,37
development only,manectric_heliolisk,suicune,17,9,2,28
development only,manectric_heliolisk,vespiquen,11,17,1,29
development only,manectric_heliolisk,weezing,4,8,0,12
development only,manectric_heliolisk,whole_panel_pooled,103,114,11,228
development only,raticate_ninetales,altaria,1,9,0,10
development only,raticate_ninetales,blaziken,7,1,0,8
development only,raticate_ninetales,hydreigon,3,4,0,7
development only,raticate_ninetales,lucario,12,13,0,25
development only,raticate_ninetales,sceptile,8,7,1,16
development only,raticate_ninetales,suicune,8,11,0,19
development only,raticate_ninetales,vespiquen,6,8,0,14
development only,raticate_ninetales,weezing,4,9,1,14
development only,raticate_ninetales,whole_panel_pooled,49,62,2,113
development only,hoopa_absol,altaria,54,21,6,81
development only,hoopa_absol,blaziken,9,2,1,12
development only,hoopa_absol,hydreigon,17,9,0,26
development only,hoopa_absol,lucario,29,30,1,60
development only,hoopa_absol,sceptile,18,27,2,47
development only,hoopa_absol,suicune,14,15,1,30
development only,hoopa_absol,vespiquen,5,20,3,28
development only,hoopa_absol,weezing,7,12,0,19
development only,hoopa_absol,whole_panel_pooled,153,136,14,303
development only,garchomp,altaria,2,7,0,9
development only,garchomp,blaziken,1,1,0,2
development only,garchomp,hydreigon,2,4,0,6
development only,garchomp,lucario,9,8,1,18
development only,garchomp,sceptile,3,3,0,6
development only,garchomp,suicune,1,7,0,8
development only,garchomp,vespiquen,2,2,0,4
development only,garchomp,weezing,1,8,1,10
development only,garchomp,whole_panel_pooled,21,40,2,63
development only,whimsicott_ariados,altaria,1,0,0,1
development only,whimsicott_ariados,blaziken,0,0,0,0
development only,whimsicott_ariados,hydreigon,2,3,0,5
development only,whimsicott_ariados,lucario,5,3,0,8
development only,whimsicott_ariados,sceptile,0,2,0,2
development only,whimsicott_ariados,suicune,3,3,0,6
development only,whimsicott_ariados,vespiquen,3,4,0,7
development only,whimsicott_ariados,weezing,1,4,0,5
development only,whimsicott_ariados,whole_panel_pooled,15,19,0,34
development only,charizardy_entei,altaria,21,32,1,54
development only,charizardy_entei,blaziken,4,7,0,11
development only,charizardy_entei,hydreigon,10,13,1,24
development only,charizardy_entei,lucario,34,13,0,47
development only,charizardy_entei,sceptile,23,8,0,31
development only,charizardy_entei,suicune,3,12,0,15
development only,charizardy_entei,vespiquen,12,10,1,23
development only,charizardy_entei,weezing,6,7,1,14
development only,charizardy_entei,whole_panel_pooled,113,102,4,219
