scope,a,b,pairings_W,pairings_L,pairings_T,pairings_n,Sept23_W,Sept23_L,Sept23_T,delta_W,delta_L,delta_T,matches_reference,within_fixed_binomial_noise
"all events, integrity check",altaria,blaziken,72,24,3,99,69,23,3,3,1,0,False,True
"all events, integrity check",altaria,hydreigon,76,56,6,138,74,55,6,2,1,0,False,True
"all events, integrity check",altaria,lucario,234,88,11,333,223,84,11,11,4,0,False,True
"all events, integrity check",altaria,sceptile,108,111,13,232,101,105,13,7,6,0,False,True
"all events, integrity check",altaria,suicune,79,70,5,154,76,69,5,3,1,0,False,True
"all events, integrity check",altaria,vespiquen,74,122,11,207,72,117,11,2,5,0,False,True
"all events, integrity check",altaria,weezing,34,64,5,103,33,64,5,1,0,0,False,True
"all events, integrity check",blaziken,hydreigon,33,22,6,61,33,22,6,0,0,0,True,True
"all events, integrity check",blaziken,lucario,63,78,3,144,63,78,3,0,0,0,True,True
"all events, integrity check",blaziken,sceptile,54,10,3,67,54,10,3,0,0,0,True,True
"all events, integrity check",blaziken,suicune,35,22,3,60,35,22,3,0,0,0,True,True
"all events, integrity check",blaziken,vespiquen,56,17,2,75,28,6,1,28,11,1,False,True
"all events, integrity check",blaziken,weezing,22,23,3,48,22,23,3,0,0,0,True,True
"all events, integrity check",hydreigon,lucario,83,68,6,157,78,65,6,5,3,0,False,True
"all events, integrity check",hydreigon,sceptile,31,47,4,82,30,47,3,1,0,1,False,True
"all events, integrity check",hydreigon,suicune,21,44,3,68,20,39,3,1,5,0,False,True
"all events, integrity check",hydreigon,vespiquen,36,58,3,97,35,57,3,1,1,0,False,True
"all events, integrity check",hydreigon,weezing,23,26,2,51,23,26,2,0,0,0,True,True
"all events, integrity check",lucario,sceptile,86,145,5,236,85,141,5,1,4,0,False,True
"all events, integrity check",lucario,suicune,100,73,3,176,91,64,3,9,9,0,False,True
"all events, integrity check",lucario,vespiquen,140,58,7,205,133,57,7,7,1,0,False,True
"all events, integrity check",lucario,weezing,74,56,6,136,74,56,6,0,0,0,True,True
"all events, integrity check",sceptile,suicune,49,55,4,108,49,55,3,0,0,1,False,True
"all events, integrity check",sceptile,vespiquen,45,90,4,139,41,84,2,4,6,2,False,True
"all events, integrity check",sceptile,weezing,51,25,4,80,51,25,4,0,0,0,True,True
"all events, integrity check",suicune,vespiquen,35,92,3,130,33,92,3,2,0,0,False,True
"all events, integrity check",suicune,weezing,50,27,4,81,50,27,4,0,0,0,True,True
"all events, integrity check",vespiquen,weezing,70,13,2,85,70,13,2,0,0,0,True,True
