scope,a,b,W,L,T,n,raw_score_pct,equal_skill_pct,ci_low_pct,ci_high_pct,both_p75_pct,K3_pct,valid_bootstraps
development only,altaria,blaziken,25,7,2,34,76.47058823529412,76.99559258526823,64.89442805196228,88.05093553644618,76.99559258526823,58.3,2000
development only,altaria,hydreigon,29,24,3,56,54.464285714285715,55.12052469236997,44.4965126629985,65.49025544051092,55.12052469236997,57.0,2000
development only,altaria,lucario,114,42,5,161,72.36024844720497,72.24987460801377,65.08485120013466,78.8892966237725,72.24987460801377,56.0,2000
development only,altaria,sceptile,45,55,8,108,45.370370370370374,45.839140606626984,38.028184152628974,53.070699901865936,45.839140606626984,38.3,2000
development only,altaria,suicune,35,27,3,65,56.15384615384615,56.5260483760715,43.67356497163061,66.95528270343479,56.5260483760715,39.0,2000
development only,altaria,vespiquen,32,55,6,93,37.634408602150536,38.32207587708856,26.80908557775149,48.617775508180536,38.32207587708856,43.1,2000
development only,altaria,weezing,14,30,3,47,32.97872340425532,34.18131656097837,21.328008835860423,50.412607583185036,34.18131656097837,37.5,2000
development only,blaziken,hydreigon,15,7,2,24,66.66666666666667,67.44332362043681,44.78618583014588,85.80883167118657,67.44332362043681,65.5,2000
development only,blaziken,lucario,24,35,0,59,40.67796610169491,40.20621979598627,27.968854011880477,52.195167840015664,40.20621979598627,46.9,2000
development only,blaziken,sceptile,17,5,1,23,76.08695652173913,75.52328844647948,58.848790025123925,93.35681055722097,75.52328844647948,60.5,2000
development only,blaziken,suicune,13,7,1,21,64.28571428571429,64.45049026950072,47.68901259585669,83.14733188709103,64.45049026950072,54.3,2000
development only,blaziken,vespiquen,24,6,1,31,79.03225806451613,78.88255893301465,60.52412371920703,92.52333361339353,78.88255893301465,77.5,2000
development only,blaziken,weezing,6,9,2,17,41.1764705882353,40.73193049673668,18.72329772961021,62.32866850567254,40.73193049673668,50.2,2000
development only,hydreigon,lucario,34,19,2,55,63.63636363636363,62.86161154437556,53.124669537716606,73.96062960693496,62.86161154437556,30.2,2000
development only,hydreigon,sceptile,12,19,4,35,40.0,39.06204426071616,23.860472168098248,58.264276416406,39.06204426071616,29.2,2000
development only,hydreigon,suicune,10,24,1,35,30.0,30.28888810172527,15.923601697053256,42.49920796170116,30.28888810172527,37.9,2000
development only,hydreigon,vespiquen,13,23,2,38,36.8421052631579,36.37797688141924,19.45640068138901,52.768523706483705,36.37797688141924,29.9,2000
development only,hydreigon,weezing,11,13,0,24,45.833333333333336,45.33786069855291,22.430061100861685,70.38716873184362,45.33786069855291,38.5,2000
development only,lucario,sceptile,44,68,2,114,39.473684210526315,40.0515990886949,31.972336244729515,47.527989490664126,40.0515990886949,35.7,2000
development only,lucario,suicune,49,34,2,85,58.8235294117647,59.68228961328678,50.88284551476106,68.48183269522431,59.68228961328678,52.4,2000
development only,lucario,vespiquen,73,31,3,107,69.62616822429906,70.45853167916167,60.32597205930674,79.24368675048464,70.45853167916167,65.7,2000
development only,lucario,weezing,46,28,4,78,61.53846153846154,61.50569013626406,53.950797325939625,71.0504056895404,61.50569013626406,52.1,2000
development only,sceptile,suicune,25,25,2,52,50.0,50.57014898029657,38.574188348064254,60.31645642368206,50.57014898029657,57.0,2000
development only,sceptile,vespiquen,19,35,2,56,35.714285714285715,36.05756165031852,25.77537774591267,45.89811647671213,36.05756165031852,66.1,2000
development only,sceptile,weezing,24,11,1,36,68.05555555555556,67.72450201687997,50.25641369401823,82.05567875137125,67.72450201687997,73.2,2000
development only,suicune,vespiquen,20,51,1,72,28.47222222222222,28.212880613373052,17.86721546910218,44.48605475291391,28.212880613373052,46.0,2000
development only,suicune,weezing,23,15,1,39,60.256410256410255,61.25483745652737,42.533770444492134,74.6477488356208,61.25483745652737,62.7,2000
development only,vespiquen,weezing,35,6,2,43,83.72093023255815,83.82829498516385,71.44062949275477,92.84258077429476,83.82829498516385,68.8,2000
