opponent bot k3, Sceptile k3, 200 games per opponent
opponent   Sceptile win%  Quick Growth/game  Caterpie KO/game  stopped share
vespiquen           66.0               0.88              0.10            11%
blaziken            38.0               0.74              0.25            25%
suicune             59.5               0.93              0.01             1%
altaria             60.5               0.82              0.17            17%
hydreigon           72.0               0.93              0.29            24%
weezing             69.0               0.58              0.32            35%
lucario             61.5               0.81              0.04             5%
opponent bot k5, Sceptile k3, 200 games per opponent
opponent   Sceptile win%  Quick Growth/game  Caterpie KO/game  stopped share
vespiquen           58.5               0.86              0.14            14%
blaziken            37.0               0.76              0.26            25%
suicune             59.5               0.96              0.01             1%
altaria             59.5               0.81              0.14            15%
hydreigon           74.0               0.92              0.26            22%
weezing             66.0               0.59              0.32            35%
lucario             60.0               0.82              0.04             4%
