400 games
   264  ('sceptile', '3+ points')
   108  ('vespiquen', '3+ points')
    17  ('vespiquen', 'opponent out of Pokemon')
    11  ('sceptile', 'opponent out of Pokemon')
Knockouts suffered (deck, Pokemon): count
   337  ('sceptile', 'Butterfree')
   287  ('vespiquen', 'Vespiquen ex')
   179  ('vespiquen', 'Teal Mask Ogerpon ex')
   158  ('vespiquen', 'Combee')
   106  ('vespiquen', 'Shuckle ex')
    99  ('sceptile', 'Grovyle')
    59  ('sceptile', 'Caterpie')
    57  ('sceptile', 'Metapod')
    30  ('sceptile', 'Treecko')
    21  ('sceptile', 'Mega Sceptile ex')
