game_seed,deck_in_seat_0,winner_seat,final_turn,points_seat0,points_seat1
72000000,altaria,0,10,3,0
72000000,blaziken,1,14,1,5
72000001,altaria,0,6,2,0
72000001,blaziken,0,8,3,0
72000002,altaria,0,10,5,1
72000002,blaziken,1,11,2,3
72000003,altaria,0,2,1,0
72000003,blaziken,0,10,4,1
72000004,altaria,1,9,0,3
72000004,blaziken,1,12,2,5
72000005,altaria,0,12,3,1
72000005,blaziken,0,12,3,1
72000006,altaria,1,9,0,3
72000006,blaziken,1,9,1,4
72000007,altaria,1,11,0,3
72000007,blaziken,0,8,4,0
72000008,altaria,1,11,2,3
72000008,blaziken,1,9,0,2
72000009,altaria,1,11,0,3
72000009,blaziken,0,10,3,1
72000010,altaria,0,8,3,2
72000010,blaziken,1,6,0,3
72000011,altaria,0,9,3,2
72000011,blaziken,1,6,1,3
72000012,altaria,1,10,0,3
72000012,blaziken,0,11,3,0
72000013,altaria,0,8,3,0
72000013,blaziken,0,11,3,0
72000014,altaria,0,16,5,2
72000014,blaziken,0,10,3,1
72000015,altaria,1,8,0,3
72000015,blaziken,0,12,5,0
72000016,altaria,0,8,3,1
72000016,blaziken,0,10,5,1
72000017,altaria,1,8,0,4
72000017,blaziken,0,12,3,1
72000018,altaria,1,17,1,3
72000018,blaziken,1,10,1,3
72000019,altaria,1,12,2,4
72000019,blaziken,1,8,1,4
72000020,altaria,1,12,1,3
72000020,blaziken,1,10,0,3
72000021,altaria,1,10,1,4
72000021,blaziken,1,8,0,2
72000022,altaria,0,6,2,0
72000022,blaziken,0,8,3,1
72000023,altaria,1,10,2,4
72000023,blaziken,0,7,3,0
72000024,altaria,0,6,3,1
72000024,blaziken,1,9,1,3
72000025,altaria,1,10,0,3
72000025,blaziken,1,14,2,5
72000026,altaria,1,8,1,4
72000026,blaziken,1,9,1,2
72000027,altaria,1,13,2,3
72000027,blaziken,1,11,1,3
72000028,altaria,0,8,3,0
72000028,blaziken,0,8,3,1
72000029,altaria,0,8,4,0
72000029,blaziken,1,7,1,3
72000030,altaria,0,7,3,1
72000030,blaziken,0,10,5,0
72000031,altaria,0,10,3,1
72000031,blaziken,0,14,3,2
72000032,altaria,0,6,3,0
72000032,blaziken,0,14,4,2
72000033,altaria,0,12,5,1
72000033,blaziken,1,3,0,1
72000034,altaria,0,12,5,1
72000034,blaziken,1,6,0,3
72000035,altaria,1,5,0,2
72000035,blaziken,0,14,5,2
72000036,altaria,0,13,3,2
72000036,blaziken,1,12,2,3
72000037,altaria,1,11,0,4
72000037,blaziken,1,6,0,3
72000038,altaria,0,11,4,2
72000038,blaziken,0,9,3,0
72000039,altaria,1,8,0,3
72000039,blaziken,1,7,1,3
72000040,altaria,0,6,3,0
72000040,blaziken,1,9,0,3
72000041,altaria,1,9,1,3
72000041,blaziken,1,17,2,4
72000042,altaria,0,8,3,0
72000042,blaziken,0,13,3,2
72000043,altaria,1,11,1,5
72000043,blaziken,0,11,3,0
72000044,altaria,0,9,3,2
72000044,blaziken,1,8,1,3
72000045,altaria,0,12,3,1
72000045,blaziken,1,13,0,3
72000046,altaria,0,14,5,1
72000046,blaziken,0,10,3,1
72000047,altaria,0,10,3,0
72000047,blaziken,0,10,3,2
72000048,altaria,1,8,1,3
72000048,blaziken,1,10,2,2
72000049,altaria,0,13,3,1
72000049,blaziken,0,8,3,1
72000050,altaria,1,8,1,3
72000050,blaziken,0,7,2,1
72000051,altaria,0,6,3,0
72000051,blaziken,0,8,3,1
72000052,altaria,0,3,1,0
72000052,blaziken,0,9,3,1
72000053,altaria,0,7,2,1
72000053,blaziken,1,9,1,3
72000054,altaria,0,11,3,0
72000054,blaziken,0,11,5,1
72000055,altaria,0,10,4,1
72000055,blaziken,0,13,3,2
72000056,altaria,0,9,4,1
72000056,blaziken,0,10,3,0
72000057,altaria,0,6,2,0
72000057,blaziken,0,8,4,0
72000058,altaria,1,10,2,3
72000058,blaziken,1,10,2,4
72000059,altaria,0,11,3,1
72000059,blaziken,1,4,0,1
72000060,altaria,0,14,3,1
72000060,blaziken,0,7,3,1
72000061,altaria,1,14,0,3
72000061,blaziken,1,9,1,3
72000062,altaria,0,8,3,1
72000062,blaziken,1,7,0,2
72000063,altaria,0,8,2,0
72000063,blaziken,0,8,3,1
72000064,altaria,0,12,3,0
72000064,blaziken,0,12,3,1
72000065,altaria,1,9,1,3
72000065,blaziken,1,10,1,3
72000066,altaria,0,12,4,2
72000066,blaziken,0,11,3,1
72000067,altaria,0,6,3,0
72000067,blaziken,0,9,3,1
72000068,altaria,1,12,1,5
72000068,blaziken,0,11,4,0
72000069,altaria,0,12,5,0
72000069,blaziken,1,10,1,3
72000070,altaria,0,12,5,1
72000070,blaziken,1,12,1,5
72000071,altaria,0,12,3,1
72000071,blaziken,1,11,2,3
72000072,altaria,0,15,5,2
72000072,blaziken,1,10,0,3
72000073,altaria,1,8,0,3
72000073,blaziken,0,7,3,2
72000074,altaria,1,8,0,3
72000074,blaziken,1,8,0,3
72000075,altaria,1,9,0,3
72000075,blaziken,0,8,4,1
72000076,altaria,1,7,0,4
72000076,blaziken,1,9,1,3
72000077,altaria,0,12,4,2
72000077,blaziken,1,7,0,3
72000078,altaria,0,10,3,0
72000078,blaziken,1,3,0,1
72000079,altaria,1,10,2,3
72000079,blaziken,0,7,3,0
72000080,altaria,0,10,5,0
72000080,blaziken,0,11,5,1
72000081,altaria,0,10,5,1
72000081,blaziken,1,3,0,1
72000082,altaria,1,9,2,3
72000082,blaziken,1,8,1,3
72000083,altaria,1,10,1,4
72000083,blaziken,1,12,1,4
72000084,altaria,0,11,4,2
72000084,blaziken,0,12,4,2
72000085,altaria,0,7,3,1
72000085,blaziken,1,12,0,5
72000086,altaria,1,12,2,4
72000086,blaziken,0,9,4,1
72000087,altaria,1,11,2,3
72000087,blaziken,1,9,1,3
72000088,altaria,1,10,1,3
72000088,blaziken,1,8,1,2
72000089,altaria,1,9,1,3
72000089,blaziken,1,11,1,3
72000090,altaria,0,12,4,2
72000090,blaziken,1,8,0,3
72000091,altaria,1,9,0,3
72000091,blaziken,1,9,1,2
72000092,altaria,0,8,4,0
72000092,blaziken,0,10,3,1
72000093,altaria,0,10,4,1
72000093,blaziken,0,11,5,0
72000094,altaria,0,6,2,0
72000094,blaziken,1,11,2,3
72000095,altaria,1,12,2,3
72000095,blaziken,1,8,0,3
72000096,altaria,0,6,3,0
72000096,blaziken,0,10,4,1
72000097,altaria,0,6,2,0
72000097,blaziken,1,11,1,4
72000098,altaria,1,9,1,4
72000098,blaziken,1,11,1,4
72000099,altaria,0,7,3,1
72000099,blaziken,1,14,2,3
72000100,altaria,0,12,3,2
72000100,blaziken,1,9,1,4
72000101,altaria,0,9,3,1
72000101,blaziken,0,11,3,0
72000102,altaria,1,13,2,5
72000102,blaziken,0,14,5,0
72000103,altaria,1,6,1,3
72000103,blaziken,1,3,0,1
72000104,altaria,0,14,3,2
72000104,blaziken,1,7,1,2
72000105,altaria,0,8,3,1
72000105,blaziken,0,16,5,2
72000106,altaria,1,13,0,5
72000106,blaziken,1,3,0,1
72000107,altaria,0,7,3,1
72000107,blaziken,1,10,1,3
72000108,altaria,0,9,3,2
72000108,blaziken,1,8,0,4
72000109,altaria,1,9,1,3
72000109,blaziken,1,3,1,1
72000110,altaria,1,8,2,3
72000110,blaziken,1,8,1,3
72000111,altaria,0,13,3,2
72000111,blaziken,0,9,3,1
72000112,altaria,1,11,0,3
72000112,blaziken,1,12,0,3
72000113,altaria,0,13,4,1
72000113,blaziken,0,9,5,0
72000114,altaria,1,8,2,3
72000114,blaziken,1,6,0,3
72000115,altaria,1,9,1,3
72000115,blaziken,0,8,4,2
72000116,altaria,1,9,1,3
72000116,blaziken,1,9,1,3
72000117,altaria,0,12,4,1
72000117,blaziken,1,9,1,4
72000118,altaria,0,7,2,0
72000118,blaziken,1,14,2,5
72000119,altaria,0,9,3,1
72000119,blaziken,1,7,0,2
72000120,altaria,1,16,2,3
72000120,blaziken,1,8,0,3
72000121,altaria,0,11,3,1
72000121,blaziken,1,12,1,3
72000122,altaria,1,14,2,4
72000122,blaziken,1,16,2,5
72000123,altaria,0,13,4,2
72000123,blaziken,1,8,2,3
72000124,altaria,1,8,1,3
72000124,blaziken,1,6,0,3
72000125,altaria,0,10,3,0
72000125,blaziken,1,9,0,3
72000126,altaria,0,11,3,2
72000126,blaziken,0,13,3,0
72000127,altaria,0,13,3,1
72000127,blaziken,1,10,2,3
72000128,altaria,0,7,3,1
72000128,blaziken,1,10,0,5
72000129,altaria,0,13,5,1
72000129,blaziken,0,9,5,2
72000130,altaria,0,12,4,2
72000130,blaziken,0,10,4,1
72000131,altaria,1,15,0,3
72000131,blaziken,1,7,0,3
72000132,altaria,0,12,3,1
72000132,blaziken,0,10,5,1
72000133,altaria,1,12,1,3
72000133,blaziken,0,10,4,2
72000134,altaria,1,9,1,3
72000134,blaziken,1,11,2,4
72000135,altaria,1,12,2,3
72000135,blaziken,0,11,3,0
72000136,altaria,1,11,1,3
72000136,blaziken,1,7,1,3
72000137,altaria,0,10,3,2
72000137,blaziken,1,13,1,3
72000138,altaria,0,3,1,0
72000138,blaziken,0,9,4,1
72000139,altaria,0,4,2,0
72000139,blaziken,1,11,0,3
72000140,altaria,1,12,1,3
72000140,blaziken,1,10,1,3
72000141,altaria,0,13,4,2
72000141,blaziken,1,10,1,3
72000142,altaria,0,14,5,2
72000142,blaziken,1,9,2,3
72000143,altaria,0,12,5,2
72000143,blaziken,0,12,4,1
72000144,altaria,0,12,4,2
72000144,blaziken,0,13,4,2
72000145,altaria,0,9,3,2
72000145,blaziken,0,3,1,0
72000146,altaria,1,10,1,3
72000146,blaziken,1,8,1,3
72000147,altaria,0,8,3,1
72000147,blaziken,1,7,1,3
72000148,altaria,0,9,3,2
72000148,blaziken,1,8,1,3
72000149,altaria,0,6,2,0
72000149,blaziken,0,10,3,0
72000150,altaria,0,10,3,2
72000150,blaziken,1,10,2,4
72000151,altaria,0,10,4,0
72000151,blaziken,1,11,2,3
72000152,altaria,1,10,1,3
72000152,blaziken,1,6,0,3
72000153,altaria,1,8,0,3
72000153,blaziken,1,10,0,5
72000154,altaria,0,8,3,1
72000154,blaziken,0,12,3,2
72000155,altaria,0,6,2,1
72000155,blaziken,0,14,3,0
72000156,altaria,1,11,2,4
72000156,blaziken,1,3,0,1
72000157,altaria,0,8,3,0
72000157,blaziken,0,10,5,1
72000158,altaria,1,13,1,3
