bot kp3, the table's first 100 deals of each of the 28 pairings (both decks piloted by kp3)
deck        card                          turns offered  turns played   (%)   where
altaria     Field Blower                             853           313   36.7   Stadium: 10; opponent's Tool on Active (Deceptive Needle): 85; opponent's Tool on Active (Giant Cape): 32; opponent's Tool on Active (Inflatable Boat): 12; opponent's Tool on Active (Leaf Cape): 74; opponent's Tool on Active (Protective Poncho): 17; opponent's Tool on Active (Rocky Helmet): 24; opponent's Tool on Bench (Giant Cape): 20; opponent's Tool on Bench (Leaf Cape): 31; opponent's Tool on Bench (Rocky Helmet): 4; own Tool on Bench (Small Balloon): 4
altaria     Small Balloon                            567           501   88.4   Active Darkrai: 160; Active Eevee: 38; Active Espeon: 93; Active Igglybuff: 65; Active Mega Altaria ex: 67; Active Swablu: 73; Bench Darkrai: 1; Bench Eevee: 1; Bench Swablu: 3
blaziken    Field Blower                             877           296   33.8   Stadium: 12; opponent's Tool on Active (Deceptive Needle): 73; opponent's Tool on Active (Giant Cape): 28; opponent's Tool on Active (Inflatable Boat): 10; opponent's Tool on Active (Leaf Cape): 74; opponent's Tool on Active (Protective Poncho): 23; opponent's Tool on Active (Small Balloon): 19; opponent's Tool on Bench (Deceptive Needle): 12; opponent's Tool on Bench (Giant Cape): 8; opponent's Tool on Bench (Inflatable Boat): 1; opponent's Tool on Bench (Leaf Cape): 14; opponent's Tool on Bench (Protective Poncho): 6; opponent's Tool on Bench (Small Balloon): 7; own Tool on Active (Rocky Helmet): 2; own Tool on Bench (Rocky Helmet): 7
blaziken    Rocky Helmet                             691           478   69.2   Active Castform Sunny Form: 193; Active Heatmor: 49; Active Mega Blaziken ex: 124; Active Torchic: 105; Bench Castform Sunny Form: 1; Bench Heatmor: 3; Bench Torchic: 3
hydreigon   Deceptive Needle                        1176           937   79.7   Active Bombirdier: 320; Active Deino: 176; Active Hydreigon: 156; Active Mega Absol ex: 266; Bench Bombirdier: 6; Bench Deino: 6; Bench Hydreigon: 9; Bench Mega Absol ex: 2
lucario     Field Blower                             894           269   30.1   Stadium: 4; opponent's Tool on Active (Deceptive Needle): 65; opponent's Tool on Active (Giant Cape): 18; opponent's Tool on Active (Inflatable Boat): 15; opponent's Tool on Active (Leaf Cape): 72; opponent's Tool on Active (Rocky Helmet): 34; opponent's Tool on Active (Small Balloon): 15; opponent's Tool on Bench (Deceptive Needle): 6; opponent's Tool on Bench (Giant Cape): 15; opponent's Tool on Bench (Leaf Cape): 12; opponent's Tool on Bench (Rocky Helmet): 2; opponent's Tool on Bench (Small Balloon): 9; own Tool on Active (Protective Poncho): 1; own Tool on Bench (Protective Poncho): 1
lucario     Protective Poncho                        632           428   67.7   Active Bonsly: 89; Active Hitmonlee: 65; Active Lucario: 33; Active Mega Lucario ex: 130; Active Riolu: 110; Bench Hitmonlee: 1
sceptile    Leaf Cape                                539           497   92.2   Active Butterfree: 140; Active Caterpie: 95; Active Grovyle: 11; Active Mega Sceptile ex: 18; Active Metapod: 94; Active Treecko: 84; Bench Butterfree: 1; Bench Caterpie: 15; Bench Grovyle: 11; Bench Mega Sceptile ex: 1; Bench Metapod: 10; Bench Treecko: 17
suicune     Field Blower                            1213           322   26.5   Stadium: 3; opponent's Tool on Active (Deceptive Needle): 103; opponent's Tool on Active (Leaf Cape): 97; opponent's Tool on Active (Protective Poncho): 28; opponent's Tool on Active (Rocky Helmet): 28; opponent's Tool on Active (Small Balloon): 17; opponent's Tool on Bench (Deceptive Needle): 3; opponent's Tool on Bench (Leaf Cape): 33; opponent's Tool on Bench (Protective Poncho): 2; opponent's Tool on Bench (Small Balloon): 5; own Tool on Active (Inflatable Boat): 1; own Tool on Bench (Inflatable Boat): 2
suicune     Giant Cape                               614           554   90.2   Active Baxcalibur: 38; Active Chien-Pao ex: 42; Active Frigibax: 67; Active Suicune ex: 276; Bench Baxcalibur: 26; Bench Chien-Pao ex: 12; Bench Frigibax: 39; Bench Suicune ex: 54
suicune     Inflatable Boat                          836           501   59.9   Active Baxcalibur: 67; Active Chien-Pao ex: 56; Active Frigibax: 59; Active Suicune ex: 311; Bench Baxcalibur: 3; Bench Chien-Pao ex: 2; Bench Frigibax: 1; Bench Suicune ex: 2
suicune     attack Stiffen                           124            55   44.4   
vespiquen   Field Blower                            1199           278   23.2   Stadium: 1; opponent's Tool on Active (Deceptive Needle): 88; opponent's Tool on Active (Giant Cape): 31; opponent's Tool on Active (Inflatable Boat): 14; opponent's Tool on Active (Leaf Cape): 28; opponent's Tool on Active (Protective Poncho): 21; opponent's Tool on Active (Rocky Helmet): 25; opponent's Tool on Active (Small Balloon): 24; opponent's Tool on Bench (Deceptive Needle): 6; opponent's Tool on Bench (Giant Cape): 13; opponent's Tool on Bench (Leaf Cape): 11; opponent's Tool on Bench (Protective Poncho): 2; opponent's Tool on Bench (Rocky Helmet): 7; opponent's Tool on Bench (Small Balloon): 7
vespiquen   Leaf Cape                               1016           839   82.6   Active Combee: 120; Active Shuckle ex: 318; Active Teal Mask Ogerpon ex: 203; Active Vespiquen ex: 40; Bench Combee: 55; Bench Shuckle ex: 106; Bench Teal Mask Ogerpon ex: 35; Bench Vespiquen ex: 49
weezing     Deceptive Needle                        1164           847   72.8   Active Darkrai ex: 156; Active Hoopa ex: 519; Active Team Rocket's Koffing: 101; Active Team Rocket's Weezing ex: 52; Bench Darkrai ex: 2; Bench Hoopa ex: 9; Bench Team Rocket's Koffing: 4; Bench Team Rocket's Weezing ex: 7
weezing     Field Blower                             875           285   32.6   Stadium: 4; opponent's Tool on Active (Deceptive Needle): 39; opponent's Tool on Active (Giant Cape): 31; opponent's Tool on Active (Inflatable Boat): 13; opponent's Tool on Active (Leaf Cape): 82; opponent's Tool on Active (Protective Poncho): 15; opponent's Tool on Active (Rocky Helmet): 22; opponent's Tool on Active (Small Balloon): 18; opponent's Tool on Bench (Deceptive Needle): 1; opponent's Tool on Bench (Giant Cape): 14; opponent's Tool on Bench (Inflatable Boat): 3; opponent's Tool on Bench (Leaf Cape): 21; opponent's Tool on Bench (Protective Poncho): 2; opponent's Tool on Bench (Rocky Helmet): 8; opponent's Tool on Bench (Small Balloon): 4; own Tool on Active (Deceptive Needle): 5; own Tool on Bench (Deceptive Needle): 3
