deck	tool	attached	inelig_at_attach	never_eligible	no_window	never_worked	worked_some	never_eligible_holders
brews/brew-01-arceus-crobat-xatu	Giant Cape	141	0	0	0	0	141	
brews/brew-02-arceus-tandemaus-persian	Giant Cape	158	0	0	1	0	157	
brews/brew-03a-arceus-nihilego-toxapex	Giant Cape	154	0	0	0	0	154	
brews/brew-03a-arceus-nihilego-toxapex	Poison Barb	133	0	0	21	11	101	
brews/brew-03a-arceus-nihilego-toxapex	Rocky Helmet	150	0	0	26	4	120	
brews/brew-03b-arceus-crobat-nihilego-toxapex	Giant Cape	143	0	0	0	0	143	
brews/brew-04-xatu-slowking	Giant Cape	169	0	0	1	0	168	
brews/brew-04-xatu-slowking	Lucky Egg	147	0	0	1	0	146	
brews/brew-05-meowstic-hatterene-confusion	Giant Cape	157	0	0	1	0	156	
brews/brew-06-pyukumuku-silvally-payback	Rocky Helmet	179	0	0	48	12	119	
brews/brew-06b-pyukumuku-silvally-scyther-grass	Protective Poncho	169	0	0	0	140	29	
brews/brew-06b-pyukumuku-silvally-scyther-grass	Rocky Helmet	167	0	0	40	6	121	
brews/brew-07-hoopa-darkrai-sableye	Deceptive Needle	305	0	0	6	0	299	
brews/brew-08-entei-rainbow-cave	Giant Cape	403	0	0	0	0	403	
brews/brew-09-sableye-obstagoon	Deceptive Needle	153	0	0	3	0	150	
brews/brew-09-sableye-obstagoon	Giant Cape	175	0	0	1	0	174	
brews/brew-10-diancie-giratina	Giant Cape	337	0	0	0	0	337	
dustin/01-muk-glimmora-kingambit-regigigas	Heavy Helmet	210	114	100	0	100	110	Glimmora x47, Alolan Grimer x18, Glimmet x14, Glimmet->Glimmora x12, Pawniard x9
dustin/02-arceus-crobat	Giant Cape	180	0	0	1	0	179	
dustin/02-arceus-crobat	Lucky Egg	146	0	0	2	0	144	
dustin/03-wailord-indeedee-wall	Heavy Helmet	385	107	107	0	107	278	Indeedee ex x107
dustin/04-absol-hoopa-darkrai	Deceptive Needle	314	24	24	5	24	285	Happiny x24
dustin/05-indeedee-stoutland	Protective Poncho	176	0	0	0	131	45	
dustin/06-mega-blaziken-tournament-list	Rocky Helmet	167	0	0	45	13	109	
dustin/07-skarmory-stall	Metal Core Barrier	274	47	47	0	47	227	Indeedee ex x47
dustin/07-skarmory-stall	Steel Apron	146	26	26	0	26	120	Indeedee ex x26
dustin/08-garchomp-toolbox	Small Balloon	159	42	42	116	0	43	Garchomp x30, Gabite x10, Gabite->Garchomp x2
dustin/09-mega-manectric-heliolisk	Elegant Cape	154	92	47	1	48	105	Electrike x30, Helioptile x17
dustin/10-xatu-oricorio-tr-weezing	Poison Barb	323	0	0	69	29	225	
dustin/12-ariados-whimsicott-ogerpon	Leaf Cape	188	0	0	0	0	188	
dustin/13-a-ninetales-raticate	Elegant Cape	162	83	52	1	52	109	Team Rocket's Rattata x29, Alolan Vulpix x23
dustin/14-comfey-raticate-hypno	Elegant Cape	169	88	62	1	62	106	Comfey x28, Team Rocket's Drowzee x19, Team Rocket's Rattata x15
research/altaria	Small Balloon	167	78	78	118	10	39	Espeon x37, Igglybuff x23, Mega Altaria ex x18
research/blaziken	Rocky Helmet	161	0	0	47	15	99	
research/hydreigon	Deceptive Needle	312	0	0	4	0	308	
research/lucario	Protective Poncho	149	0	0	1	108	40	
research/sceptile	Leaf Cape	178	0	0	0	0	178	
research/suicune	Giant Cape	192	0	0	0	0	192	
research/suicune	Inflatable Boat	175	0	0	131	0	44	
research/vespiquen	Leaf Cape	323	0	0	8	0	315	
research/weezing	Deceptive Needle	291	0	0	9	0	282	
