deck	card	kind	games	games_offered	games_played	offered_turns	offered_turns_free	played_turns	play_rate
brews/brew-01-arceus-crobat-xatu	Cyrus	Supporter	240	50	35	61	57	35	0.614
brews/brew-01-arceus-crobat-xatu	Giant Cape	Tool	240	144	141	144	144	141	0.979
brews/brew-01-arceus-crobat-xatu	Lisia	Supporter	240	139	120	185	152	120	0.789
brews/brew-01-arceus-crobat-xatu	Poké Ball	Item	240	201	192	278	278	246	0.885
brews/brew-01-arceus-crobat-xatu	Professor's Research	Supporter	240	189	186	311	289	283	0.979
brews/brew-01-arceus-crobat-xatu	Rare Candy	Item	240	165	164	178	178	176	0.989
brews/brew-01-arceus-crobat-xatu	Will	Supporter	240	144	29	429	287	29	0.101
brews/brew-02-arceus-tandemaus-persian	Cyrus	Supporter	240	49	42	50	46	42	0.913
brews/brew-02-arceus-tandemaus-persian	Giant Cape	Tool	240	162	158	162	162	158	0.975
brews/brew-02-arceus-tandemaus-persian	Lisia	Supporter	240	204	178	458	370	207	0.559
brews/brew-02-arceus-tandemaus-persian	Poké Ball	Item	240	210	199	324	324	266	0.821
brews/brew-02-arceus-tandemaus-persian	Professor's Research	Supporter	240	186	181	300	266	258	0.970
brews/brew-02-arceus-tandemaus-persian	Team Rocket's Boss	Supporter	240	162	9	528	339	9	0.027
brews/brew-02-arceus-tandemaus-persian	X Speed	Item	240	165	100	400	400	100	0.250
brews/brew-03a-arceus-nihilego-toxapex	Cyrus	Supporter	240	45	38	54	48	38	0.792
brews/brew-03a-arceus-nihilego-toxapex	Giant Cape	Tool	240	157	154	157	157	154	0.981
brews/brew-03a-arceus-nihilego-toxapex	Poison Barb	Tool	240	154	133	294	294	133	0.452
brews/brew-03a-arceus-nihilego-toxapex	Poké Ball	Item	240	202	201	279	279	264	0.946
brews/brew-03a-arceus-nihilego-toxapex	Professor's Research	Supporter	240	186	186	281	266	262	0.985
brews/brew-03a-arceus-nihilego-toxapex	Rocky Helmet	Tool	240	164	150	224	224	150	0.670
brews/brew-03a-arceus-nihilego-toxapex	Sabrina	Supporter	240	150	132	212	186	132	0.710
brews/brew-03a-arceus-nihilego-toxapex	Team Rocket's Goo-zooka	Item	240	211	24	878	878	29	0.033
brews/brew-03a-arceus-nihilego-toxapex	X Speed	Item	240	174	95	397	397	95	0.239
brews/brew-03b-arceus-crobat-nihilego-toxapex	Giant Cape	Tool	240	147	143	147	147	143	0.973
brews/brew-03b-arceus-crobat-nihilego-toxapex	Lisia	Supporter	240	154	108	256	211	108	0.512
brews/brew-03b-arceus-crobat-nihilego-toxapex	Poké Ball	Item	240	202	201	272	272	264	0.971
brews/brew-03b-arceus-crobat-nihilego-toxapex	Professor's Research	Supporter	240	178	178	279	269	266	0.989
brews/brew-03b-arceus-crobat-nihilego-toxapex	Rare Candy	Item	240	149	148	166	166	162	0.976
brews/brew-03b-arceus-crobat-nihilego-toxapex	Team Rocket's Goo-zooka	Item	240	158	12	581	581	12	0.021
brews/brew-04-xatu-slowking	Arcade	Stadium	240	179	136	230	230	136	0.591
brews/brew-04-xatu-slowking	Cyrus	Supporter	240	50	42	58	51	42	0.824
brews/brew-04-xatu-slowking	Giant Cape	Tool	240	176	169	189	189	169	0.894
brews/brew-04-xatu-slowking	Lucky Egg	Tool	240	176	147	260	260	147	0.565
brews/brew-04-xatu-slowking	Poké Ball	Item	240	215	205	397	397	314	0.791
brews/brew-04-xatu-slowking	Professor's Research	Supporter	240	198	197	314	302	296	0.980
brews/brew-04-xatu-slowking	Will	Supporter	240	176	76	429	309	76	0.246
brews/brew-04-xatu-slowking	X Speed	Item	240	186	89	460	460	93	0.202
brews/brew-05-meowstic-hatterene-confusion	Giant Cape	Tool	240	162	157	162	162	157	0.969
brews/brew-05-meowstic-hatterene-confusion	Poké Ball	Item	240	204	197	307	307	241	0.785
brews/brew-05-meowstic-hatterene-confusion	Professor's Research	Supporter	240	195	194	291	277	272	0.982
brews/brew-05-meowstic-hatterene-confusion	Rare Candy	Item	240	131	120	147	147	131	0.891
brews/brew-05-meowstic-hatterene-confusion	Team Rocket's Master Plan	Supporter	240	211	108	768	637	139	0.218
brews/brew-05-meowstic-hatterene-confusion	X Speed	Item	240	141	52	423	423	52	0.123
brews/brew-05b-meowstic-hatterene-comfey	Copycat	Supporter	240	213	197	476	378	281	0.743
brews/brew-05b-meowstic-hatterene-comfey	Peculiar Plaza	Stadium	240	188	179	196	196	179	0.913
brews/brew-05b-meowstic-hatterene-comfey	Poké Ball	Item	240	217	206	372	372	276	0.742
brews/brew-05b-meowstic-hatterene-comfey	Professor's Research	Supporter	240	205	192	340	291	283	0.973
brews/brew-05b-meowstic-hatterene-comfey	Rare Candy	Item	240	180	180	241	241	231	0.959
brews/brew-05b-meowstic-hatterene-comfey	Team Rocket's Master Plan	Supporter	240	223	107	761	469	130	0.277
brews/brew-06-pyukumuku-silvally-payback	Copycat	Supporter	240	210	194	477	344	257	0.747
brews/brew-06-pyukumuku-silvally-payback	Cyrus	Supporter	240	47	32	52	41	32	0.780
brews/brew-06-pyukumuku-silvally-payback	Field Blower	Item	240	176	137	267	267	137	0.513
brews/brew-06-pyukumuku-silvally-payback	Gladion	Supporter	240	181	132	267	166	132	0.795
brews/brew-06-pyukumuku-silvally-payback	Poké Ball	Item	240	229	225	362	362	324	0.895
brews/brew-06-pyukumuku-silvally-payback	Professor's Research	Supporter	240	214	198	393	315	314	0.997
brews/brew-06-pyukumuku-silvally-payback	Red	Supporter	240	177	62	499	265	62	0.234
